"Employers Who Were Issued a Negative Labour Market Impact Assessment (LMIA) by Program Stream, National Occupational Classification (NOC) 2011 and Business Location, January to March 2020",,,,,
Province/Territory,Program Stream,Employer ,Address ,Occupation ,Requested Positions
Alberta,   Low Wage,10113689 Canada Inc,"Calgary, T3E6K6",6211-Retail sales supervisors,1
Alberta,   Low Wage,1029925 Alberta Ltd,"Calgary, T2E2S8",6311-Food service supervisors,1
Alberta,   Low Wage,1107246 Alberta Ltd,"Edmonton, T6N1K7",0621-Retail and wholesale trade managers,1
Alberta,   Low Wage,1167202 Alberta Ltd,"Jasper, T0E1E0",6322-Cooks,4
Alberta,   Low Wage,1226564 Alberta Inc.,"Edmonton, T6P1L7",1224-Property administrators,1
Alberta,   Low Wage,1335805 Alberta Ltd,"Grande Prairie, T8V8J6",6311-Food service supervisors,1
Alberta,   Low Wage,1362597 Alberta Inc.,"Calgary, T3H5M6",6311-Food service supervisors,2
Alberta,   Low Wage,1506411 AB Ltd.,"Red Deer, T4R3G8",6211-Retail sales supervisors,1
Alberta,   Low Wage,1512668 Alberta Ltd.,"EDMONTON, T5M1W4",6311-Food service supervisors,2
Alberta,   Low Wage,1512668 Alberta Ltd.,"EDMONTON, T5M1W4",6322-Cooks,2
Alberta,   Low Wage,1753441 Alberta Ltd,"Beaumont, T4X1T8",6322-Cooks,1
Alberta,   Low Wage,1768612 ALBERTA LTD,"RED DEER, T4R1Z4",6211-Retail sales supervisors,1
Alberta,   Low Wage,1779696 Alberta Inc.,"calgary, T2P0V7",6322-Cooks,1
Alberta,   Low Wage,1833879 Alberta Ltd o/a Jade's Headshop,"Calgary, T2Y0J4",6341-Hairstylists and barbers,2
Alberta,   Low Wage,1917016 AB Ltd,"Calgary, T2G2B6","9213-Supervisors, food, beverage and associated products processing",1
Alberta,   Low Wage,1924268 Alberta LTD,"Jasper, T0E1E0",6211-Retail sales supervisors,1
Alberta,   Low Wage,1926324 Alberta Ltd.,"Grande Prairie, T8V0P3",7514-Delivery and courier service drivers,2
Alberta,   Low Wage,2042033 Alberta Ltd,"Smoky Lake, T0A3C0",6211-Retail sales supervisors,1
Alberta,   Low Wage,2060712 ALBERTA INC,"Edmonton, T6B3V1",6311-Food service supervisors,1
Alberta,   Low Wage,2061062 Alberta Inc,"CALGARY, T3R0J3",4163-Business development officers and marketing researchers and consultants,1
Alberta,   Low Wage,2072255 Alberta Ltd,"Wetaskiwin, T9A0S3",6311-Food service supervisors,1
Alberta,   Low Wage,2084901 Alberta Ltd.,"La Crete, T0H2H0","6711-Food counter attendants, kitchen helpers and related support occupations",4
Alberta,   Low Wage,2085533 Alberta Ltd.,"Edmonton, T5C2L2",6513-Food and beverage servers,2
Alberta,   Low Wage,2141667 Alberta Ltd.,"Consort, T0C1B0",6211-Retail sales supervisors,1
Alberta,   Low Wage,2175730 Alberta Ltd,"Airdrie, T4B1S2",6321-Chefs,1
Alberta,   Low Wage,320364 Alberta Ltd,"Cold Lake, T9M1R6",6321-Chefs,1
Alberta,   Low Wage,413877 Alberta Ltd.,"Grassland, T0A1V0",6211-Retail sales supervisors,1
Alberta,   Low Wage,682704 Alberta Ltd.,"Calgary, T2R1P6",6311-Food service supervisors,1
Alberta,   Low Wage,793085 ALBERTA LTD,"ALBERTA, T9S1C5",6322-Cooks,1
Alberta,   Low Wage,874707 Alberta Ltd,"St. Alberta, T8N5B2",6311-Food service supervisors,1
Alberta,   Low Wage,978556 Alberta Ltd.,"Calgary, T1Y7K7",6322-Cooks,2
Alberta,   Low Wage,ADH ALBERTA LTD.,"Calgary, T3J0V9",6311-Food service supervisors,2
Alberta,   Low Wage,Africana Bar & Grill,"Calgary, T2E6T1",6322-Cooks,3
Alberta,   Low Wage,Air Immigration Inc,"Sylvan Lake, T4S0K5",1221-Administrative officers,1
Alberta,   Low Wage,Amirat Transportation Service Ltd,"Edmonton, T5A4K8",7514-Delivery and courier service drivers,2
Alberta,   Low Wage,Austin Nguyen Professional Corporation,"Calgary, T2A6L8",1242-Legal administrative assistants,1
Alberta,   Low Wage,BANK & BARON INC (THE),"Calgary, T2P1B4",6322-Cooks,1
Alberta,   Low Wage,BIKANER SWEETS HOUSE & RESTAURANT,"Calgary, T3J4L4",6322-Cooks,2
Alberta,   Low Wage,Bonnyville & District Daycare Centre,"Bonnyville, T9N2J7",4214-Early childhood educators and assistants,1
Alberta,   Low Wage,Calgary Court Restaurant Ltd.,"Calgary, T2G0B2",0631-Restaurant and food service managers,1
Alberta,   Low Wage,CCA Logistics Ltd.,"Calgary, T2E6S6","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
Alberta,   Low Wage,Cedar Sweets Ltd.,"Edmonton, T5E1J8",6211-Retail sales supervisors,1
Alberta,   Low Wage,champeer dq ltd.,"edmonton, T6W2P3",6311-Food service supervisors,1
Alberta,   Low Wage,Cheema Janitorial Services Ltd.,"Edmonton, T5Z3R3",6731-Light duty cleaners,3
Alberta,   Low Wage,CITY PAINTING LTD,"EDMONTON, T6T1P8",7611-Construction trades helpers and labourers,3
Alberta,   Low Wage,Connect Canada Immigration Services Inc.,"Calgary, T3J0H6",1411-General office support workers,2
Alberta,   Low Wage,Cranbrook Framing Inc,"Calgary, T1Y6T8","7284-Plasterers, drywall installers and finishers and lathers",2
Alberta,   Low Wage,Earls Restaurant (Grande Prairie) Ltd.,"Grande Prairie, T8V6X3",6311-Food service supervisors,4
Alberta,   Low Wage,Five Star Construction Ltd.,"Alberta Beach, T0E0A1",7291-Roofers and shinglers,3
Alberta,   Low Wage,Goldeye Foundation Society,"Nordegg, T0M2H0",6322-Cooks,1
Alberta,   Low Wage,Gorgeous Beauty Salon Ltd,"Fort McMurray, T9H1J9",6341-Hairstylists and barbers,1
Alberta,   Low Wage,GRAHAM AND LANE FLORISTS LTD.,"Edmonton, T5J2Y9",5244-Artisans and craftspersons,1
Alberta,   Low Wage,Granite Warehouse Inc.,"Leduc, T9E8M4",7283-Tilesetters,1
Alberta,   Low Wage,Harvest Four Inc.,"Cochrane, T4C0T1",6332-Bakers,1
Alberta,   Low Wage,Jacques Cartier Clothier Inc.,"Banff, T1L1A2",6211-Retail sales supervisors,1
Alberta,   Low Wage,Jaskreet Holdings Ltd.,"Edmonton, T6X0A9","9227-Supervisors, other products manufacturing and assembly",1
Alberta,   Low Wage,Jehan Foods Inc.,"Grande Prairie, T8V3Y2",6311-Food service supervisors,1
Alberta,   Low Wage,Josan Properties Ltd.,"Edmonton, T6J5H2","6313-Accommodation, travel, tourism and related services supervisors",1
Alberta,   Low Wage,Just Bismillah  Inc.,"Edmonton, T6X0K6",6311-Food service supervisors,1
Alberta,   Low Wage,KD Group Ltd,"Edmonton, T6X0R9",7535-Other automotive mechanical installers and servicers,1
Alberta,   Low Wage,KENARD FAST FOOD LTD,"Edmonton, T6H0K4",6322-Cooks,2
Alberta,   Low Wage,Kinder Kollege Daycare Services Ltd.,"Edmonton, T6A3G3",4214-Early childhood educators and assistants,1
Alberta,   Low Wage,Kinjo Sushi & Grill Ltd.,"Calgary, T2K5A2",6511-Maîtres d'hôtel and hosts/hostesses,1
Alberta,   Low Wage,Kiwipark Ltd,"Black Diamond, T0L0H0",6211-Retail sales supervisors,1
Alberta,   Low Wage,Kusina Filipino Take Out & Catering Inc.,"Edmonton, T5G1Z5",6322-Cooks,2
Alberta,   Low Wage,Kustom Auto Body (Coaldale 1990) Ltd,"Coaldale, T1M1N1",7322-Motor vehicle body repairers,1
Alberta,   Low Wage,Matt's Pizza 2014 Ltd.,"High Level, T0H1Z0","6711-Food counter attendants, kitchen helpers and related support occupations",1
Alberta,   Low Wage,Melange Salon & Spa Inc,"EDMONTON, T6X1E9",6341-Hairstylists and barbers,1
Alberta,   Low Wage,Merali Enterprises Ltd,"Chestermere, T1X0A9",6311-Food service supervisors,1
Alberta,   Low Wage,Milltech Millwork Ltd.,"Edmonton, T5L4K2",7272-Cabinetmakers,5
Alberta,   Low Wage,NOE Construction Inc.,"Edmonton, T5T6A5",7294-Painters and decorators (except interior decorators),1
Alberta,   Low Wage,Nourish Cafe Inc,"Banff, T1L1B4",6322-Cooks,2
Alberta,   Low Wage,NU-LOOK ALLARD INC.,"EDMONTON, T6W0J2",6341-Hairstylists and barbers,1
Alberta,   Low Wage,O GAM Food Corporation,"Calgary, T2H0K1","6711-Food counter attendants, kitchen helpers and related support occupations",1
Alberta,   Low Wage,paolo's dine -in inc,"calgary, T2H0Y8",6513-Food and beverage servers,1
Alberta,   Low Wage,PK 17TH AVENUE INC.,"CALGARY, T2A0S5",6311-Food service supervisors,1
Alberta,   Low Wage,PRINCE INDIA CATERING LTD,"Edmonton, T6T0P9",6311-Food service supervisors,1
Alberta,   Low Wage,Proveable Cleaning Services Ltd.,"Calgary, T2E7K1",6315-Cleaning supervisors,4
Alberta,   Low Wage,Purewal Inc.,"Edmonton, T6X0K6",6311-Food service supervisors,1
Alberta,   Low Wage,Radiance Salon,"calgary, T2T0E1",6341-Hairstylists and barbers,1
Alberta,   Low Wage,Rocky Mountain Manpower Inc,"SE Calgary, T2G0T7",1221-Administrative officers,1
Alberta,   Low Wage,Sai Ram Enterprise Ltd,"Sherwood Park, T8H1R4",0631-Restaurant and food service managers,1
Alberta,   Low Wage,Sai Ram Enterprise Ltd,"Sherwood Park, T8H1R4","6711-Food counter attendants, kitchen helpers and related support occupations",1
Alberta,   Low Wage,SARR Foods Inc. o/a Little Caesars,"Calgary, T2J0N2",6311-Food service supervisors,1
Alberta,   Low Wage,Sawridge Management Corporation,"Slave Lake, T0G2A0",6322-Cooks,2
Alberta,   Low Wage,SHIELD OILFIELD MAINTENANCE LTD,"Slave Lake, T0G2A0","8615-Oil and gas drilling, servicing and related labourers",1
Alberta,   Low Wage,Specon Construction Inc,"Rocky View, T1X0K3",7272-Cabinetmakers,1
Alberta,   Low Wage,Spices Indian Restaurant Corp,"Fort McMurray, T9H2J9",6511-Maîtres d'hôtel and hosts/hostesses,1
Alberta,   Low Wage,Spirit Hills Services Ltd.,"Millarville, T0L1K0",0821-Managers in agriculture,1
Alberta,   Low Wage,Spring Roll Ltd.,"Lethbridge, T1H2S1",6322-Cooks,1
Alberta,   Low Wage,Subway Vermilion,"Vermilion, T9X0B4",6311-Food service supervisors,1
Alberta,   Low Wage,SUMMIT LOCK & SAFE LTD.,"Edmonton, T6B1H1","7384-Other trades and related occupations, n.e.c.",1
Alberta,   Low Wage,Sunnyside Daycare & OSC,"Edmonton, T5T3K1",4214-Early childhood educators and assistants,1
Alberta,   Low Wage,Takla Maintenance Corporation,"Edmonton, T6R0G7",1241-Administrative assistants,1
Alberta,   Low Wage,Taste of India Express,"Sherwood Park, T8A4W2",6322-Cooks,1
Alberta,   Low Wage,Twenty First Century Homes Ltd,"Calgary, T3J4H6",7511-Transport truck drivers,1
Alberta,   Low Wage,Viking Stables Inc.,"Innisfree, T0B2G0",6563-Pet groomers and animal care workers,6
Alberta,   Low Wage,VN King Enterprises Inc.,"Calgary, T2A0V1",6221-Technical sales specialists - wholesale trade,1
Alberta,   Low Wage,Walkers Grocery Ltd,"Beaverlodge, T0H0C0",6211-Retail sales supervisors,2
Alberta,   Low Wage,West Edmonton Truckland Ltd.,"Edmonton, T5V1M8",6211-Retail sales supervisors,1
Alberta,   Low Wage,Wilco Contractors Southwest Inc.,"Calgary, T2C2T8","8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",3
Alberta,   Low Wage,Woodbridge Holdings Ltd.,"Sherwood Park, T8A4G6",7535-Other automotive mechanical installers and servicers,1
Alberta,  Primary Agriculture,697625 Alberta Ltd,"DeWinton, T0L0X0","8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",3
Alberta,  Primary Agriculture,Entreprises Lavoie (1999) Ltd.,"St-Isidore, Ab, T0H3B0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",5
Alberta,  Primary Agriculture,Rainbow Greenhouses Alberta Inc.,"Iron Springs, T0K1G0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Alberta,  Primary Agriculture,Wyant Enterprises,"Bonanza, T0H0K0",8431-General farm workers,1
British Columbia,    High Wage,0348706 bc  ltd,"surrey, V3T4X8","1123-Professional occupations in advertising, marketing and public relations",1
British Columbia,    High Wage,0749491BC LTD,"Langley, V1M2C9",0631-Restaurant and food service managers,1
British Columbia,    High Wage,0893261 B.C Ltd,"SURREY, V3X1P3",5242-Interior designers and interior decorators,1
British Columbia,    High Wage,0924203 BC LTD.,"Surrey, V3S0Z4",7271-Carpenters,3
British Columbia,    High Wage,0952511 BC LTD.,"SURREY, V3W4G3",1241-Administrative assistants,1
British Columbia,    High Wage,1063217BC Ltd.,"LANGLEY, V2Y1A5",6321-Chefs,1
British Columbia,    High Wage,1082251 BC Ltd,"Nanaimo, V9S1G8",1241-Administrative assistants,1
British Columbia,    High Wage,1164814 B.C. Ltd.,"SURREY, V3R7T7",0601-Corporate sales managers,1
British Columbia,    High Wage,1177491 B.C. LTD.,"Vancouver, V6K4L3",0621-Retail and wholesale trade managers,2
British Columbia,    High Wage,1194775 B.C Ltd,"Surrey, V4N 4C7",6322-Cooks,1
British Columbia,    High Wage,1196731 B.C. LTD.,"Surrey, V3X 3K1",1111-Financial auditors and accountants,1
British Columbia,    High Wage,1198291 B.C. Ltd.,"Surrey, V3W 5B5",0731-Managers in transportation,1
British Columbia,    High Wage,1208811 B.C. Ltd.,"SURREY, V3W2N8","0013-Senior managers - financial, communications and other business services",1
British Columbia,    High Wage,1208950 B.C. Ltd.,"SURREY, V3W2N8",0213-Computer and information systems managers,1
British Columbia,    High Wage,1211918 BC Ltd.,"Surrey, V3V4B5",4216-Other instructors,1
British Columbia,    High Wage,1211920 BC Ltd,"Delta, V4C 7V4",0621-Retail and wholesale trade managers,1
British Columbia,    High Wage,1216509 BC Ltd,"Richmond, V6Y2B2","1123-Professional occupations in advertising, marketing and public relations",1
British Columbia,    High Wage,1218629 BC Ltd,"Delta, V4C7V4",2175-Web designers and developers,1
British Columbia,    High Wage,1218737 B.C. Ltd.,"Pitt Meadows, V3Y 2B3","0651-Managers in customer and personal services, n.e.c.",1
British Columbia,    High Wage,1220287 BC Ltd,"Richmond, V6Y2B2",4163-Business development officers and marketing researchers and consultants,1
British Columbia,    High Wage,1230075 BC Ltd.,"Richmond, V7C0A6","1123-Professional occupations in advertising, marketing and public relations",1
British Columbia,    High Wage,1442403 Alberta Ltd,"SURREY, V4N5G5",1226-Conference and event planners,1
British Columbia,    High Wage,21 Century Trading Inc.,"Delta, V4G0A2","0124-Advertising, marketing and public relations managers",1
British Columbia,    High Wage,681000 BC Ltd,"Langley, V1M2C9",6211-Retail sales supervisors,1
British Columbia,    High Wage,7 Direct Furniture Ltd.,"SURREY, V3W2V7",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,A I Educational Consultancy Pvt. Ltd.,"Surrey, V3W3A8",1221-Administrative officers,1
British Columbia,    High Wage,A&B DEVELOPMENT CORP,"west vancouver, V7S2E9",7281-Bricklayers,2
British Columbia,    High Wage,A1 Doors & Mouldings Ltd.,"Surrey, V3W3A6",7271-Carpenters,2
British Columbia,    High Wage,AAF Construction Ltd.,"Abbotsford, V4X2P6",7271-Carpenters,2
British Columbia,    High Wage,Aarvi Transport Ltd.,"Surrey, V3S2G9",1241-Administrative assistants,1
British Columbia,    High Wage,Adrenalin Marine Ltd,"DELTA, V4G1C9",2253-Drafting technologists and technicians,1
British Columbia,    High Wage,Airport Driving School Ltd.,"RICHMOND, V6X2L5","0651-Managers in customer and personal services, n.e.c.",1
British Columbia,    High Wage,ALL KIND OF PAINTING LTD.,"SURREY, V3W3V5",7294-Painters and decorators (except interior decorators),2
British Columbia,    High Wage,Amazing Tutors Inc.,"SURREY, V3W2N8",4021-College and other vocational instructors,1
British Columbia,    High Wage,ANDSTUDIO DESIGNS INC.,"Vancouver, V6A1A7",2252-Industrial designers,1
British Columbia,    High Wage,APP FREIGHT FORWARD LTD.,"Surrey, V4N2X2","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",3
British Columbia,    High Wage,Appsync Software Inc.,"VANCOUVER, V6B2Z4",0213-Computer and information systems managers,1
British Columbia,    High Wage,Aquila Vola Enterprises Inc.,"VANCOUVER, V6B2Z4",0601-Corporate sales managers,1
British Columbia,    High Wage,Atlantis Programs Inc.,"Vancouver, V5V4H5",2175-Web designers and developers,1
British Columbia,    High Wage,August Reign Shop Ltd.,"Richmond, V6Y2B6",5122-Editors,1
British Columbia,    High Wage,Avjot Construction Co. Ltd,"Surrey,, V3W5A5",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,Back in Motion Rehab Inc.,"Surrey, V3S5J9",3143-Occupational therapists,1
British Columbia,    High Wage,Barefoot Oasis Foot Massage & Spa,"Vancouver, V6B0J6",3232-Practitioners of natural healing,1
British Columbia,    High Wage,Basant Motors Ltd.,"Surrey, V4N0G1",5222-Film and video camera operators,1
British Columbia,    High Wage,Benjamin Towing Corp.,"Coquitlam, V3C4E6",0621-Retail and wholesale trade managers,1
British Columbia,    High Wage,Bhullar Enterprises Inc dba Atlas Animal Hospital,"Vancouver, V5W2Z4",3213-Animal health technologists and veterinary technicians,2
British Columbia,    High Wage,Blue Pacific Drywall Ltd.,"Surrey, V3W9N2",1431-Accounting and related clerks,1
British Columbia,    High Wage,Brar Motors Ltd.,"Abbotsford, V2T6C7","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
British Columbia,    High Wage,Bravo Stone Manufacturing Ltd.,"Burnaby, V3N0C6",0711-Construction managers,1
British Columbia,    High Wage,Can4u Education Technology Ltd.,"Surrey, V4N 0M6",0421-Administrators - post-secondary education and vocational training,1
British Columbia,    High Wage,Canada Recycled Art Gallery Inc.,"Richmond, V6X 3R8",0621-Retail and wholesale trade managers,1
British Columbia,    High Wage,Canex Language Academy Inc.,"VANCOUVER, V6E3X2",0621-Retail and wholesale trade managers,1
British Columbia,    High Wage,Cansel Survey Equipment Inc.,"Burnaby, V5J5H6",6221-Technical sales specialists - wholesale trade,1
British Columbia,    High Wage,CENTURION HARDWOOD FLOORS LTD,"Richmond, V6X1V4",7271-Carpenters,1
British Columbia,    High Wage,Chilliwack Glass & Door Inc.,"Chilliwack, V2P2N3",7292-Glaziers,1
British Columbia,    High Wage,Clean Pro Building Maintenance Ltd.,"Kelowna, V1V2M4",6316-Other services supervisors,1
British Columbia,    High Wage,Coast to coast construction ltd.,"Burnaby, V5H3P9","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",1
British Columbia,    High Wage,Comeleon Software Inc.,"Surrey, V3W 6H7",0125-Other business services managers,1
British Columbia,    High Wage,CONNOISSEUR'S KITCHEN INC.,"SURREY, V3S7A4",0911-Manufacturing managers,1
British Columbia,    High Wage,CONNOISSEUR'S KITCHEN INC.,"SURREY, V3S7A4",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,Critical Systems Labs Inc.,"Vancouver, V6B1G1","2148-Other professional engineers, n.e.c.",1
British Columbia,    High Wage,Deep & Max Plumbing & Heating Ltd.,"Surrey, V3W0Y1",7251-Plumbers,1
British Columbia,    High Wage,DoorDash Technologies Inc,"Vancouver, V6B2M6",4163-Business development officers and marketing researchers and consultants,1
British Columbia,    High Wage,DR. JOYCE SANTOS-GROU INC. TRI-CITY DENTAL CENTRE,"COQUITLAM, V3B7L3",1221-Administrative officers,1
British Columbia,    High Wage,D-Thind Development Ltd,"Burnaby, V5H1Z6",2251-Architectural technologists and technicians,1
British Columbia,    High Wage,Duality foods Ltd.,"Richmond, V6X1A4",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Enfield Formwork Ltd.,"Abbotsford, V3G2Y1",7271-Carpenters,2
British Columbia,    High Wage,Excited Corporate Investments Ltd.,"Surrey, V3X2Y7",7535-Other automotive mechanical installers and servicers,1
British Columbia,    High Wage,Express News Tobacconist,"COQUITLAM, V3J7X8",0621-Retail and wholesale trade managers,1
British Columbia,    High Wage,Fast Track Appliances Ltd,"SURREY, V3W3E9",7332-Appliance servicers and repairers,1
British Columbia,    High Wage,fifth street bar & woodfired grill ltd,"Victoria, V8T2A3",6321-Chefs,1
British Columbia,    High Wage,Fleetway Trucking Ltd,"Surrey, V3W3N4",7511-Transport truck drivers,2
British Columbia,    High Wage,Focus Millwork Installation Inc.,"North Vancouver, V7L1T6",7271-Carpenters,1
British Columbia,    High Wage,FRC ENTERPRISES INC.,"Surrey, V3W4G2",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,G&RK Construction Ltd,"Surrey, V3S7Y7",7271-Carpenters,3
British Columbia,    High Wage,Ginkgo Tree Ltd.,"Vancouver, V6E 3X2","0423-Managers in social, community and correctional services",1
British Columbia,    High Wage,Gongwell Services Incorporated,"Port Coquitlam, V3B1A8","4161-Natural and applied science policy researchers, consultants and program officers",1
British Columbia,    High Wage,Grace Hanin Community Church,"Surrey, V3T2V6",5241-Graphic designers and illustrators,1
British Columbia,    High Wage,H&F Trading Inc.,"RICHMOND, V6Y0C2","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
British Columbia,    High Wage,He Brew's Ahava Coffee Inc.,"Kamloops, V2C0J4",0631-Restaurant and food service managers,2
British Columbia,    High Wage,High Gate Auto Repair Ltd,"Burnaby, V5J4X3","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
British Columbia,    High Wage,HONEST BUILDING SERVICES LTD,"Burnaby, V5H0G2","0651-Managers in customer and personal services, n.e.c.",1
British Columbia,    High Wage,INTERLOGIX TRANSPORT INC.,"SURREY, V3V1V6",7511-Transport truck drivers,2
British Columbia,    High Wage,Italian Spirit Design and Landscape Inc,"NORTH VANCOUVER, V7M3J9","0124-Advertising, marketing and public relations managers",1
British Columbia,    High Wage,J&K Healthcare Products Inc.,"West Vancouver, V7W2X3",1122-Professional occupations in business management consulting,1
British Columbia,    High Wage,Jas Mann Roofing and Waterproofing Inc,"surrey, V4N1B7",7291-Roofers and shinglers,2
British Columbia,    High Wage,Jiva Manufacturing & Distributing Inc.,"Burnaby, V5J5B9",4163-Business development officers and marketing researchers and consultants,1
British Columbia,    High Wage,Joliet Enterprises Ltd.,"Kamploop, V2C3Z9",0632-Accommodation service managers,1
British Columbia,    High Wage,K4 Construction Ltd.,"Cloverdale, V3S1K4","7284-Plasterers, drywall installers and finishers and lathers",2
British Columbia,    High Wage,KCH Consulting Services Inc.,"Coquitlam, V3B2P5",1122-Professional occupations in business management consulting,1
British Columbia,    High Wage,Keats Island Construction and Services LTD,"Keats Island, V0N1V0",7271-Carpenters,1
British Columbia,    High Wage,KHAGHAN RESTAURANT LTD.,"Vancouver, V6G2L9",0631-Restaurant and food service managers,2
British Columbia,    High Wage,Kingsway Subowners LTD,"Vancouver, V5N2S5",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Kuber Taxi Ltd.,"Surrey, V3W0K8",0731-Managers in transportation,1
British Columbia,    High Wage,Little Koala Montessori Child Care LTD.,"Richmond, V6Y1K9","1123-Professional occupations in advertising, marketing and public relations",1
British Columbia,    High Wage,Loplop Foods Ltd.,"North Vancouver, V7P 1Y9","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
British Columbia,    High Wage,Lost Boys Studios Inc.,"Vancouver, V5N2K2",4012-Post-secondary teaching and research assistants,1
British Columbia,    High Wage,Lotus Desert Enterprises Ltd,"MERRITT, V1K1B8",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,Lundor Enterprises Inc,"Vancouver, V5M1V2","5131-Producers, directors, choreographers and related occupations",1
British Columbia,    High Wage,Mahiera Properties Ltd,"VANCOUVER, V6B2Z4","0016-Senior managers - construction, transportation, production and utilities",1
British Columbia,    High Wage,Major Tom Agency Inc,"Vancouver, V6B2L3","0124-Advertising, marketing and public relations managers",1
British Columbia,    High Wage,Manila Holdings Ltd,"Surrey, V3X2G9",0114-Other administrative services managers,1
British Columbia,    High Wage,Matteo Lighting Inc.,"Surrey, V3Z3X2",0113-Purchasing managers,1
British Columbia,    High Wage,Maxer Holdings Limited,"Richmond, V7A5J9","0013-Senior managers - financial, communications and other business services",1
British Columbia,    High Wage,Maxiville Transportation Inc,"NANAIMO, V9R5H9","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
British Columbia,    High Wage,Megabox Packaging Solutions Inc.,"Delta, V3M6L2",0621-Retail and wholesale trade managers,1
British Columbia,    High Wage,MEM Services Ltd.,"Richmond, V6V0A8","7384-Other trades and related occupations, n.e.c.",1
British Columbia,    High Wage,Miracle Prescriptions LTD.,"North Vancouver, V7P1T2",3219-Other medical technologists and technicians (except dental health),1
British Columbia,    High Wage,MJ WINDOW LTD.,"Surrey, V3W7X4",1241-Administrative assistants,1
British Columbia,    High Wage,Moonlight Stucco Plaster Ltd.,"Surrey, V3W4J4","7284-Plasterers, drywall installers and finishers and lathers",1
British Columbia,    High Wage,NANAK SIDING LTD.,"Surrey, V3W3C1",7271-Carpenters,3
British Columbia,    High Wage,NCC Construction Ltd,"surrey, V3W3H2",7271-Carpenters,1
British Columbia,    High Wage,Nimble Leap Software Corporation,"Abbotsford, V3G 0C6",0601-Corporate sales managers,1
British Columbia,    High Wage,Northkamp Enterprises Inc.,"Vancouver, V6A 1M4","5131-Producers, directors, choreographers and related occupations",1
British Columbia,    High Wage,O Canada Drywall Ltd,"Delta, V4E3M9","7284-Plasterers, drywall installers and finishers and lathers",2
British Columbia,    High Wage,Oasis Windows (Canada) Inc.,"SURREY, V3W9E9",0911-Manufacturing managers,1
British Columbia,    High Wage,Olson Projects Ltd,"Golden, V0A1H2","7204-Contractors and supervisors, carpentry trades",1
British Columbia,    High Wage,Oxford Barber Shop And Hair Salon Inc.,"Surrey, V3T0E6",6341-Hairstylists and barbers,1
British Columbia,    High Wage,Pandher Building Maintenance Ltd,"Surrey, V3X3R1",7611-Construction trades helpers and labourers,2
British Columbia,    High Wage,PBF Pita Bread Factory Ltd,"Burnaby, V5A2H5",7242-Industrial electricians,2
British Columbia,    High Wage,Pizza Knight Ltd,"Surrey, V3S9L9",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Power Pros Electrical Ltd,"Abbotsford, V2T6W3",7241-Electricians (except industrial and power system),1
British Columbia,    High Wage,Punjabi Patrika Media Ltd.,"Abbotsford, V2T6G4",1241-Administrative assistants,1
British Columbia,    High Wage,Pythagoras Academy,"Richmond, V6X1G1",4032-Elementary school and kindergarten teachers,1
British Columbia,    High Wage,Rainbow Kitchen Craft Ltd.,"SURREY, V3W3H7",0621-Retail and wholesale trade managers,1
British Columbia,    High Wage,Raiwal Agro Tech Foods Ltd,"SURREY, V3S0L5",0714-Facility operation and maintenance managers,1
British Columbia,    High Wage,Raiwal Agro Tech Foods Ltd,"SURREY, V3S0L5","1123-Professional occupations in advertising, marketing and public relations",1
British Columbia,    High Wage,Raiwal Agro Tech Foods Ltd,"SURREY, V3S0L5","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
British Columbia,    High Wage,RB Gill Contracting Ltd,"Surrey, V3V5G2",7241-Electricians (except industrial and power system),2
British Columbia,    High Wage,Reason Investment Advisors Ltd,"Richmond, V6X2C9","0121-Insurance, real estate and financial brokerage managers",1
British Columbia,    High Wage,Robert Laurin Holdings Ltd.,"Kelowna, V1Y8P8",6311-Food service supervisors,1
British Columbia,    High Wage,Royal Pacific Institute Ltd.,"Victoria, V8X1W8",3232-Practitioners of natural healing,1
British Columbia,    High Wage,Rulk Cad Works Inc.,"Surrey, V4A 2J2",0211-Engineering managers,1
British Columbia,    High Wage,S B TRUCKING LTD.,"Surrey, V3W0A6",7511-Transport truck drivers,10
British Columbia,    High Wage,SACHIN CAPITAL CORP,"RICHMOND, V6V3B7","0121-Insurance, real estate and financial brokerage managers",1
