"Employers who were issued a positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2018 (July-September)",,,,, 
Province/Territory,Stream,Employer,Address,Occupations under NOC 2011,Approved Positions 
,,RPS Hawk Inc. o/a Hawk Express,"ELMIRA, ON N3B 2Z5",8431-General farm workers,5
,,RTM Farms Ltd,"Leamington, ON N8H 3V8",8432-Nursery and greenhouse workers,22
,,Sandy Shore Farms Limited,"Port Burwell, ON N0J 1T0",8431-General farm workers,20
,,Scarlett Acres Limited,"Colborne, ON K0K 1S0",8431-General farm workers,56
,,Scharringa Greenhouses Ltd,"Waterdown, ON L8B 1J4",8432-Nursery and greenhouse workers,16
,,Schenck Farms & Greenhouses Co Ltd,"St Catharines, ON L2R 6P9",8431-General farm workers,24
,,Schouten Corner View Farms Ltd,"Richmond, ON K0A 2Z0",8431-General farm workers,1
,,Schouten Dairy Farms Inc.,"Richmond, ON K0A 2Z0",8431-General farm workers,2
,,Schuyler Farms Limited,"Simcoe, ON N3Y 4K3",8431-General farm workers,2
,,Shawson Gardens Inc,"Scotland, ON N0E 1R0",8431-General farm workers,1
,,Sitko Farms Inc,"WILSONVILLE, ON N0E 1Z0",8432-Nursery and greenhouse workers,1
,,Smyth's Apple Orchard Ltd,"Iroquois, ON K0E 1K0",8431-General farm workers,3
,,Somerville Nurseries Inc,"Everett, ON L0M 1J0",8432-Nursery and greenhouse workers,23
,,Sosnicki Organics,"Waterford, ON N0E 1Y0",8431-General farm workers,2
,,South Park Hydroponics,"Leamington, ON N8H 4G2",8432-Nursery and greenhouse workers,28
,,Southshore Greenhouses Inc,"Kingsville, ON N9Y 2M6",8432-Nursery and greenhouse workers,11
,,Spriet Ventures Ltd,"Burford, ON N0E 1A0",8431-General farm workers,3
,,Stellar Mount Stock Inc.,"Port Lambton, ON N0P 2B0",8431-General farm workers,1
,,Stonecreek Farms LTD.,"Woodham, ON N0K 2A0",8431-General farm workers,2
,,Stonehenge Acres Ltd,"Scotland, ON N0E 1R0",8432-Nursery and greenhouse workers,9
,,Stonelife Landscaping Inc,"VAUGHAN, ON L4K 3S6","8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",1
,,Streef Produce Ltd,"Princeton, ON N0J 1V0",8431-General farm workers,10
,,Sun Valley Floral Farms Niagara,"St Catharines, ON L2R 6P9",8432-Nursery and greenhouse workers,8
,,Sunrise Greenhouses Ltd,"Vineland, ON L0R 2E0",8432-Nursery and greenhouse workers,1
,,Sunrise Orchards (Veens) Inc,"Arkona, ON N0M 1B0",8431-General farm workers,4
,,Sunrite Greenhouses Ltd,"Kingsville, ON N9Y 2M2",8432-Nursery and greenhouse workers,30
,,Suntech Greenhouses Ltd,"Manotick, ON K4M 1B4",8432-Nursery and greenhouse workers,7
,,Sunvalley Hydroponics Ltd,"RUTHVEN, ON N0P 2G0",8432-Nursery and greenhouse workers,15
,,Sweaburg Orchard Inc,"Aylmer, ON N5H 2R1",8431-General farm workers,16
,,TD Greenhouses Ltd,"Wainfleet, ON L0S 1V0",8432-Nursery and greenhouse workers,4
,,The Craigmore Group Inc.,"Schomberg, ON L0G 1T0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Thiessen Orchards Ltd,"Leamington, ON N8H 3V6",8431-General farm workers,1
,,Tigchelaar Berry Farms Inc.,"Vineland Station, ON L0R 2E0",8431-General farm workers,8
,,Tilecroft Farms Limited,"Osgoode, ON K0A 2W0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Top Tomato Foods,"Markham, ON L6C 1L7",8431-General farm workers,2
,,Toppview Farms Inc,"Dunnville, ON N1A 2W4",8432-Nursery and greenhouse workers,6
,,Triumph Produce Ltd.,"Richmond Hill, ON L4S 2M5",8431-General farm workers,2
,,Tru-Willynn Dairy Ltd.,"THAMESFORD, ON N0M 2M0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Tupling Farms Ltd,"Melancthon, ON L9V 1X1",8431-General farm workers,6
,,Twin Peaks Hydroponics Inc,"Leamington, ON N8H 3W2",8432-Nursery and greenhouse workers,14
,,Under Sun Acres Inc,"Staples, ON N0P 2J0",8432-Nursery and greenhouse workers,32
,,Valley Growers Inc,"Blezard Valley, ON P0M 1E0",8431-General farm workers,5
,,Van de Laar Vineyards Inc,"Niagara on the Lake, ON L0S 1J0",8431-General farm workers,6
,,Van Hove Holdings Inc,"Tillsonburg, ON N4G 4G7",8431-General farm workers,12
,,Van Ymeren Orchards Inc.,"AYLMER, ON N5H 2R4",8431-General farm workers,41
,,Vanderstelt Farms Ltd,"Brantford, ON N3T 5M1",8431-General farm workers,1
,,VanZanten Greenhouses,"Pelham, ON L0S 1C0",8432-Nursery and greenhouse workers,1
,,Vehof Farms Inc,"BRIGHT, ON N0J 1B0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Verbeek Farms,"Chatham, ON N7M 5J4",8431-General farm workers,2
,,Vercouteren Farms Ltd.,"Blenheim, ON N0P 1A0",8431-General farm workers,1
,,Verkuyl Farms Limited,"Woodstock, ON N4S 7W1",8431-General farm workers,5
,,Vienna Farms Ltd,"Waterloo, ON N2J 4G8",8431-General farm workers,79
,,Virgil Greenhouses Ltd,"Niagara on the Lake, ON L0S 1J0",8432-Nursery and greenhouse workers,6
,,Warren Greenhouses (1983) Ltd,"Kitchener, ON N2G 1R4",8432-Nursery and greenhouse workers,2
,,Warren Ridge Inc,"Niagara on the Lake, ON L0S 1J0",8431-General farm workers,7
,,Way-Kim Farms Ltd,"Norwich, ON N0J 1P0",8432-Nursery and greenhouse workers,2
,,Werner Fruit Farm,"St Catharines, ON L2R 7K6",8431-General farm workers,1
,,West Montrose Farms Ltd,"West Montrose, ON N0B 2V0",8432-Nursery and greenhouse workers,1
,,Wildhagen's Limited,"Campbellville, ON L0P 1B0",8432-Nursery and greenhouse workers,3
,,Willow Spring Hydroponic Farms,"Florence, ON N0P 1R0",8432-Nursery and greenhouse workers,12
,,Wilmot Orchards Inc,"Newcastle, ON L1B 1L9",8431-General farm workers,12
,,Winkelmolen Nursery Ltd,"Lynden, ON L0R 1T0",8432-Nursery and greenhouse workers,22
,,Woodside Greenhouses Inc,"Leamington, ON N8H 3V6",8432-Nursery and greenhouse workers,3
,,Woodville Farms Limited,"Woodville, ON K0M 2T0",8431-General farm workers,6
,,Yamamoto Farms,"Churchill, ON L0L 1K0",8431-General farm workers,1
,,ZDS Farms Ltd,"Leamington, ON N8H 3V5",8432-Nursery and greenhouse workers,1
,,Zeldenrust Acres Ltd.,"DUNNVILLE, ON N1A 2W1","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
, Global Talent Stream,2nd Site o/a FreshBooks Inc.,"Toronto, ON M6P 3T1",0213-Computer and information systems managers,1
,,5Touch Solutions Inc o/a EventMobi,"TORONTO, ON M5J 1A7",2173-Software engineers and designers,2
,,,,2174-Computer programmers and interactive media developers,3
,,Accenture Inc.,"TORONTO, ON M5H 3Y2",2171-Information systems analysts and consultants,3
,,,,2173-Software engineers and designers,1
,,,,2174-Computer programmers and interactive media developers,1
,,Adastra Corporation,"Markham, ON L3T 7M8",2171-Information systems analysts and consultants,2
,,Al Yousef Brothers,"Mississauga, ON L5T 1C4",2172-Database analysts and data administrators,1
,,AlayaCare Inc,"Toronto, ON M5H 2S8",2175-Web designers and developers,1
,,All in Bits Canada Inc.,"TORONTO, ON M5T 1P2",2173-Software engineers and designers,1
,,Ample Organics Inc.,"TORONTO, ON M4M 1E4",2173-Software engineers and designers,2
,,ATI Technologies ULC,"Markham, ON L3T 7X6",2147-Computer engineers (except software engineers and designers),1
,,Bardess Canada ULC,"Toronto, ON M5X 1C9",2171-Information systems analysts and consultants,2
,,Bigterminal.com Inc.,"TORONTO, ON M5V 2N4",2173-Software engineers and designers,5
,,BlackBerry Limited,"WATERLOO, ON N2K 0A9",2171-Information systems analysts and consultants,1
,,By the Lake Dental Inc,"AJAX, ON L1Z 0B1",0213-Computer and information systems managers,1
,,Cable Leafs Consultancy Inc.,"MISSISSAUGA, ON L5N 5R1",2172-Database analysts and data administrators,1
,,Capgemini Financial Services Canada Inc,"MISSISSAUGA, ON L4W 5K4",2174-Computer programmers and interactive media developers,4
,,Cast Connex Corporation,"TORONTO, ON M5A 3X9",2171-Information systems analysts and consultants,1
,,Cloud SynApps Inc.,"Oakville, ON L6M 3L8",2171-Information systems analysts and consultants,1
,,CloudGen Systems Pvt. Ltd Canada,"TORONTO, ON M9B 6H7",2173-Software engineers and designers,1
,,Connected Interactive Inc,"Toronto, ON M5C 1N7",2173-Software engineers and designers,1
,,ContextLogic Technologies Inc,"TORONTO, ON M5H 1S3",2173-Software engineers and designers,1
,,CPQI Canada Limited,"TORONTO, ON M5C 1C3",2171-Information systems analysts and consultants,1
,,,,2174-Computer programmers and interactive media developers,1
,,Crescendo Technology Ltd.,"North York, ON M2N 6K1",0213-Computer and information systems managers,1
,,CrowdCare Corporation,"RICHMOND HILL, ON L4B 4V1",2174-Computer programmers and interactive media developers,1
,,Daisy Intelligence Corporation,"VAUGHAN, ON L4K 5X6",2174-Computer programmers and interactive media developers,2
,,DarwinAI Corp,"Waterloo, ON N2L 6R5",2173-Software engineers and designers,1
,,DeepLearning Financial Technologies Inc.,"TORONTO, ON M5V 2L3",2147-Computer engineers (except software engineers and designers),1
,,,,2174-Computer programmers and interactive media developers,1
,,Dejero Labs Inc.,"Waterloo, ON N2L 3V3",2174-Computer programmers and interactive media developers,2
,,Dig Insights Inc.,"TORONTO, ON M5H 2W9",2175-Web designers and developers,1
,,Ecopia,"TORONTO, ON M5G 1L7",2173-Software engineers and designers,1
,,EPAM Systems Canada Ltd,"NORTH YORK, ON M2N 6L4",2173-Software engineers and designers,2
,,EPSoft Technologies Canada Inc.,"SCARBOROUGH, ON M1S 4L8",2171-Information systems analysts and consultants,3
,,eStaffMatch Inc.,"TORONTO, ON M5N 1C3","0013-Senior managers - financial, communications and other business services",1
,,Evenset Inc.,"TORONTO, ON M4W 3Y2",2283-Information systems testing technicians,1
,,Exel Canada Ltd. d/b/a DHL Supply Chain,"Mississauga, ON L5R 3R3",0213-Computer and information systems managers,1
,,Fera Commerce Inc,"KITCHENER, ON N2G 1H6",2174-Computer programmers and interactive media developers,2
,,Founded Technologies Inc,"TORONTO, ON M4M 1B7",2174-Computer programmers and interactive media developers,1
,,FundThrough Inc.,"TORONTO, ON M5T 2E4",2174-Computer programmers and interactive media developers,4
,,Gameloft Entertainment Toronto Inc.,"Toronto, ON M6K 3J7",5241-Graphic designers and illustrators,2
,,Google Canada Corporation,"Kitchener, ON N2H 5G5",2173-Software engineers and designers,2
,,GPVTL Canada Inc.,"TORONTO, ON M5C 2V6",2174-Computer programmers and interactive media developers,1
,,Havas Canada Holdings Inc,"TORONTO, ON M5V 1T1",2174-Computer programmers and interactive media developers,8
,,IGM Technology Corp.,"Toronto, ON M5R 3V3",2173-Software engineers and designers,1
,,Imperial Carpet and Home Inc,"NORTH YORK, ON M6A 2X1",2175-Web designers and developers,1
,,Inbox Marketer Corporation,"GUELPH, ON N1H 4E3",2174-Computer programmers and interactive media developers,1
,,Infinity Wealth Solutions Inc.,"MISSISSAUGA, ON L5R 0E9",2172-Database analysts and data administrators,1
,,Influitive Corporation,"TORONTO, ON M5V 2G9",2173-Software engineers and designers,3
,,Innovere Medical Inc.,"MARKHAM, ON L3R 9W7",2174-Computer programmers and interactive media developers,1
,,Intelex Technologies Inc.,"TORONTO, ON M5J 2M4","0013-Senior managers - financial, communications and other business services",1
,,Interaxon Inc.,"TORONTO, ON M5V 3B1",2173-Software engineers and designers,1
,,,,2241-Electrical and electronics engineering technologists and technicians,1
,,"Invision AI, Inc","TORONTO, ON M5B 2G9",2174-Computer programmers and interactive media developers,1
,,iS5 Communications Inc,"MISSISSAUGA, ON L5T 1G3",2173-Software engineers and designers,1
,,iVedha Inc.,"TORONTO, ON M3C 3S2",2175-Web designers and developers,1
,,Joist Inc.,"TORONTO, ON M5V 2M5",2173-Software engineers and designers,1
,,Kejo Consulting Inc.,"VAUGHAN, ON L4H 1K8",2173-Software engineers and designers,1
,,Kira Inc.,"Toronto, ON M5H 1Y2","2161-Mathematicians, statisticians and actuaries",1
,,,,2174-Computer programmers and interactive media developers,1
,,Klick Inc.,"TORONTO, ON M4W 3R8",0213-Computer and information systems managers,1
,,LOREX Technology Inc.,"Markham, ON L3R 3S1",0213-Computer and information systems managers,1
,,LoyaltyOne Inc.,"TORONTO, ON M5A 1L1",2174-Computer programmers and interactive media developers,2
,,Magnussen Home Furnishings Ltd.,"New Hamburg, ON N3A 2A3",2174-Computer programmers and interactive media developers,1
,,mobileLIVE Inc.,"TORONTO, ON M5H 1J8",0213-Computer and information systems managers,3
,,,,2174-Computer programmers and interactive media developers,15
,,Nanometrics Inc.,"KANATA, ON K2M 2A1",0601-Corporate sales managers,1
,,Nokia Canada Inc.,"KANATA, ON K2K 2E6",2147-Computer engineers (except software engineers and designers),1
,,Opus One Solutions Energy Corporation,"TORONTO, ON M5C 1P1",2173-Software engineers and designers,1
,,"Passport Health (Canada), LLC","TORONTO, ON M5C 1Y2",2173-Software engineers and designers,1
,,Payroll Solutions International Inc.,"GUELPH, ON N1K 1B3",2173-Software engineers and designers,1
,,Pillar 5 Pharma Inc,"ARNPRIOR, ON K7S 0C9",2232-Mechanical engineering technologists and technicians,1
,,Pixomondo Inc.,"Toronto, ON M4M 1E3",5241-Graphic designers and illustrators,1
,,Platterz Inc.,"Toronto, ON M4V 1K6",2173-Software engineers and designers,2
,,Plooto Inc.,"Toronto, ON M5V 2Y1","0013-Senior managers - financial, communications and other business services",1
,,Polaris Consulting & Services Inc.,"Toronto, ON M5H 1T1",2172-Database analysts and data administrators,1
,,PricewaterhouseCoopers LLP,"Toronto, ON M5J 0B2",0213-Computer and information systems managers,2
,,ProteinQure Inc,"TORONTO, ON M5T 2C2",2174-Computer programmers and interactive media developers,3
,,PTPA Media Inc.,"Concord, ON L4K 2H6",2175-Web designers and developers,1
,,Ribbon Communications Canada ULC,"OTTAWA, ON K2V 1C2",0213-Computer and information systems managers,1
,,,,2173-Software engineers and designers,4
,,Royal Bank of Canada,"Toronto, ON M5J 2W4",2171-Information systems analysts and consultants,2
,,,,2173-Software engineers and designers,1
,,RSVP Technologies Inc.,"WATERLOO, ON N2L 3H8",2173-Software engineers and designers,2
,,Rubikloud Technologies Inc.,"TORONTO, ON M5J 1A7",2173-Software engineers and designers,1
,,Sensibill Inc.,"Toronto, ON M5V 1S5",2173-Software engineers and designers,1
,,Sera4 Ltd.,"WATERLOO, ON N2V 2H1",2173-Software engineers and designers,1
,,Sesama Business Solutions Inc.,"MARKHAM, ON L3R 5B4",2171-Information systems analysts and consultants,1
,,Shopify Inc.,"TORONTO, ON M5V 1E3",0213-Computer and information systems managers,3
,,,,2147-Computer engineers (except software engineers and designers),1
,,,,2171-Information systems analysts and consultants,1
,,,,2172-Database analysts and data administrators,1
,,,,2173-Software engineers and designers,2
,,,,2174-Computer programmers and interactive media developers,11
,,,,2175-Web designers and developers,1
,,,,5241-Graphic designers and illustrators,1
,,Smart Nora Inc,"TORONTO, ON M5V 1K4",2173-Software engineers and designers,1
,,Solutia Cloudworks Ltd.,"Toronto, ON M5V 2C3",0213-Computer and information systems managers,1
,,SOTI Inc,"MISSISSAUGA, ON L5R 3G5",2171-Information systems analysts and consultants,1
,,,,2174-Computer programmers and interactive media developers,4
,,Square Canada INC.,"Toronto, ON M5V 3J7",2173-Software engineers and designers,2
,,Syngli Inc,"KITCHENER, ON N2G 0B5",2175-Web designers and developers,1
,,Synopsys Canada ULC,"Nepean, ON K2E 8C4",2173-Software engineers and designers,1
,,Syntronic Research and Development Canada Inc.,"OTTAWA, ON K2K 3A2",2173-Software engineers and designers,1
,,T. Hong and Co. Investments Inc.,"TORONTO, ON M5V 3P5",2173-Software engineers and designers,2
,,Taplytics Inc.,"TORONTO, ON M5V 1E3",2173-Software engineers and designers,3
,,TechInsights,"OTTAWA, ON K2A 1S5","0013-Senior managers - financial, communications and other business services",1
,,Telepin Software Systems Inc.,"KANATA, ON K2K 3C9",2172-Database analysts and data administrators,1
,,,,2175-Web designers and developers,1
,,"TextNow, Inc","Waterloo, ON N2L 6R5",2174-Computer programmers and interactive media developers,1
,,Thalmic Labs Inc,"KITCHENER, ON N2G 1Y6",2147-Computer engineers (except software engineers and designers),2
,,,,2174-Computer programmers and interactive media developers,1
,,,,6221-Technical sales specialists - wholesale trade,1
,,The Addmore Group Inc.,"TORONTO, ON M2N 3A5",2171-Information systems analysts and consultants,1
,,The Semex Alliance,"GUELPH, ON N1H 6J2",2172-Database analysts and data administrators,1
,,The Working Group Inc.,"Toronto, ON M5V 3C1",2173-Software engineers and designers,1
,,Ticketmaster Canada LP,"TORONTO, ON M5T 1A8",2174-Computer programmers and interactive media developers,2
,,TierOne OSS Technologies Inc,"Mississauga, ON L4V 1T1",2173-Software engineers and designers,1
,,Treefrog Inc.,"Newmarket, ON L3Y 2P5",2174-Computer programmers and interactive media developers,1
,,Tribalscale Inc.,"TORONTO, ON M5V 3C7",2173-Software engineers and designers,1
,,Trouw Nutrition Canada Inc.,"GUELPH, ON N1G 4T2",0212-Architecture and science managers,1
,,True North Labs Ltd.,"KITCHENER, ON N2G 1B9",2173-Software engineers and designers,1
,,Trust Plus Overseas Affairs Consulting Inc.,"Toronto, ON M1T 3V3",2175-Web designers and developers,1
,,Tucows.com Co.,"TORONTO, ON M6K 3M1",2171-Information systems analysts and consultants,1
,,,,2172-Database analysts and data administrators,1
,,Ubisoft Toronto Inc.,"Toronto, ON M6H 1V7",2174-Computer programmers and interactive media developers,3
,,,,"5131-Producers, directors, choreographers and related occupations",2
,,,,5241-Graphic designers and illustrators,3
,,UNYTE HEALTH INC.,"TORONTO, ON M6G 1Z4",2173-Software engineers and designers,1
,,Variyas Global Solutions Inc.,"Toronto, ON M5B 2L7",2171-Information systems analysts and consultants,3
,,Venngage,"TORONTO, ON M6H 2X9",2173-Software engineers and designers,1
,,,,2175-Web designers and developers,1
,,Venus Concept Canada Corp.,"Toronto, ON M2J 1R4",0114-Other administrative services managers,1
,,Veriday Inc.,"MISSISSAUGA, ON L4W 5L1",0213-Computer and information systems managers,1
,,,,2174-Computer programmers and interactive media developers,1
,,VM Farms Inc.,"Toronto, ON M5V 1M9",2174-Computer programmers and interactive media developers,2
,,Vogogo Inc.,"TORONTO, ON M5R 2E1","0013-Senior managers - financial, communications and other business services",1
,,VueReal Inc.,"WATERLOO, ON N2L 5R9",0211-Engineering managers,1
,,Wave Financial Inc,"Toronto, ON M3M 2S1",2173-Software engineers and designers,1
,,WGames Inc.,"Brampton, ON M5V 2H2",2173-Software engineers and designers,1
,,,,"5131-Producers, directors, choreographers and related occupations",2
,,Wise Travel Technologies Inc.,"Toronto, ON M5V 2L5",2175-Web designers and developers,2
,,Xanadu Quantum Technologies Inc.,"TORONTO, ON M5V 2L7",2283-Information systems testing technicians,1
,,Xilinx Canada Co.,"OTTAWA, ON K2K 3G3",2173-Software engineers and designers,1
,,Zenith System Solutions Inc.,"Markham, ON L3R 6G2",2174-Computer programmers and interactive media developers,1
,,ZetaTango Technology Inc.,"OTTAWA, ON K2H 5Z2",2173-Software engineers and designers,1
,,Zynga Game Canada Limited,"TORONTO, ON M5V 2K4",0213-Computer and information systems managers,1
Manitoba,    High Wage,6814990 Manitoba Ltd.,"Winnipeg, MB R3E 0L1","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
,,,,7322-Motor vehicle body repairers,2
,,7410409 Manitoba Inc.,"Winnipeg, MB R3L 0E6",1221-Administrative officers,1
,,Aikam Logistics Inc,"Winnipeg, MB R2R 1V4",1311-Accounting technicians and bookkeepers,1
,,Assiniboine Park Conservancy,"Winnipeg, MB R3P 2N6",2221-Biological technologists and technicians,1
,,Centreport Truck and Trailer Services Inc,"WINNIPEG, MB R2P 1K8","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,ERLPhase Power Technologies Ltd.,"Winnipeg, MB R3Y 1G4",0601-Corporate sales managers,1
,,Gladstone Transfer Ltd.,"Gladstone, MB R0J 0T0",7511-Transport truck drivers,2
,,Health Science Centre (Winnipeg Regional Health Authority),"Winnipeg, MB R3B 1E2",3111-Specialist physicians,1
,,Jade Transport Ltd.,"Winnipeg, MB R2J 0G8",7511-Transport truck drivers,4
,,JEB Development Ltd.,"Winnipeg, MB R3G 0N3","3223-Dental technologists, technicians and laboratory assistants",1
,,KGA Transport Ltd.,"WINNIPEG, MB R2R 0N4",1221-Administrative officers,1
,,,,7511-Transport truck drivers,2
,,Kings Truck & Trailer Repair Ltd,"WINNIPEG, MB R2P 1N1",1311-Accounting technicians and bookkeepers,1
,,,,7312-Heavy-duty equipment mechanics,1
,,"K-Tec Earthmovers, Inc.","ROSENORT, MB R0G 1W0",7231-Machinists and machining and tooling inspectors,1
,,Luxury Lifestyle Management Inc.,"WINNIGEG, MB R3C 4H6",0632-Accommodation service managers,1
,,Major Drilling International Group Inc.,"Winnipeg, MB R3J 3W1","7372-Drillers and blasters - surface mining, quarrying and construction",1
,,Molly & Max Productions Inc,"Winnipeg, MB R3E 2K3","5226-Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",5
,,Pritchard Autobody and Glass Inc.,"Winnipeg, MB R2W 2H7",7322-Motor vehicle body repairers,1
,,SH Construction & Renovation Inc,"Winnipeg, MB R2M 2P8",7283-Tilesetters,1
,,Sohi Logistics Truckline Ltd.,"Winnipeg, MB R2V 4K4",7511-Transport truck drivers,5
,,The University of Manitoba,"Winnipeg, MB R3T 2N2",4011-University professors and lecturers,3
,,Thompson Ford Sales Ltd.,"Thompson, MB R8N 0N6","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",3
,   Low Wage,6802312 Manitoba Inc.,"MORRIS, MB R0G 1K0",0631-Restaurant and food service managers,1
,,,,6311-Food service supervisors,1
,,,,6332-Bakers,1
,,Crisanti Investments Ltd.,"NEEPAWA, MB R0J 1H0",6311-Food service supervisors,4
,,Double Double Cathy Ltd.,"ELIE, MB R0H 0H0",0631-Restaurant and food service managers,1
,,,,6332-Bakers,2
,,Redcap Enterprise Company Ltd.,"Shoal Lake, MB R0J 1Z0",6322-Cooks,1
,,Revolve Productions Canada Inc.,"WINNIPEG, MB R2X 1G9","6742-Other service support occupations, n.e.c.",1
,,Shiv Shakti Anpurna Ltd.,"Dauphin, MB R7N 3H4",6322-Cooks,1
,,St. Anne Hotel Chinese Restaurant,"WINNIPEG, MB R3B 0X1",6322-Cooks,1
,,The Kitching Group (Canada) Inc.,"Winnipeg, MB R3M 0W5",0631-Restaurant and food service managers,1
,,Timvir Ltd.,"Virden, MB R0M 2C0",6311-Food service supervisors,4
,  Primary Agriculture,Canmark Family Farming Ltd.,"Roblin, MB R0L 1P0",8431-General farm workers,3
,,Cell Farms Ltd.,"Hartney, MB R0M 0X0",8431-General farm workers,1
,,Jeffries Bros Vegetable Growers Inc.,"Portage la Prairie, MB R1N 3C2",8431-General farm workers,7
,,SB Vegetable Growers Ltd,"Portage La Prairie, MB R1N 3B2",8431-General farm workers,1
,,Superior Weanlings Ltd.,"Birtle, MB R0M 0C0",8431-General farm workers,4
, Global Talent Stream,EQ3 Ltd.,"Winnipeg, MB R2G 4H2",2174-Computer programmers and interactive media developers,4
,,SkipTheDishes Restaurant Services,"WINNIPEG, MB R3B 0P4",0213-Computer and information systems managers,1
,,,,2173-Software engineers and designers,2
Saskatchewan,    High Wage,102019183 Saskatchewan Ltd.,"WARMAN, SK S0K 4S1",3112-General practitioners and family physicians,1
,,24 Hr Animal Care Centre Professional Corp,"Regina, SK S4N 7K3",3114-Veterinarians,3
,,Alliance Health (Saskatoon) Prof. Corp.,"SASKATOON, SK S7J 2H9",3111-Specialist physicians,1
,,Chinazam Automotive Limited,"SASKATOON, SK S7M 3B6",0621-Retail and wholesale trade managers,1
,,Govan Aerial Applicators Inc.,"Warman, SK S0K 4S2","2271-Air pilots, flight engineers and flying instructors",1
,,Mac Acres Ltd,"WATROUS, SK S0K 4T0","2271-Air pilots, flight engineers and flying instructors",1
,,Mackay Equipment Sales Ltd.,"SASKATOON, SK S7K 7G9",6221-Technical sales specialists - wholesale trade,1
,,MacNeil Motors Inc.,"MARTENSVILLE, SK S0K 2T0",1241-Administrative assistants,1
,,Max Motors Auto Sales Ltd.,"SASKATOON, SK S7K 0V6",7322-Motor vehicle body repairers,1
,,Monette Farms Ltd.,"Swift Current, SK S9H 3X4",7312-Heavy-duty equipment mechanics,1
,,Saskatchewan Health Authority,"SASKATOON, SK S7K 4X4",3111-Specialist physicians,12
,,,,3211-Medical laboratory technologists,1
,,Saskatchewan Research Council,"SASKATOON, SK S7N 2X8",0211-Engineering managers,1
,,Sautner Concrete Services Inc.,"Saskatoon, SK S7M 0W9",7282-Concrete finishers,4
,,SJM Dental Prof. Corp.,"ASSINIBOIA, SK S0H 0B0","0014-Senior managers - health, education, social and community services and membership organizations",1
,,Span West Building Corporation,"SASKATOON, SK S7K 0W2",7271-Carpenters,1
,,Timberlost Outfitting Ltd,"LEOVILLE, SK S0J 1N0",6532-Outdoor sport and recreational guides,1
,,University of Regina,"Regina, SK S4S 0A2",4011-University professors and lecturers,1
,,Veikle Seeds Ltd,"Cut Knife, SK S0M 0N0",7312-Heavy-duty equipment mechanics,1
,   Low Wage,101203566 SASK LTD.,"Estevan, SK S4A 2S7",6211-Retail sales supervisors,1
,,101210740 Saskatchewan LTD,"NIPAWIN, SK S0E 1E0",6311-Food service supervisors,1
,,101221215 Saskatchewan Ltd,"Regina Beach, SK S0G 4C0",6211-Retail sales supervisors,1
,,101269282 Saskatchewan Ltd,"SANDY BAY, SK S0P 0G0",6311-Food service supervisors,1
,,101269505 Saskatchewan Ltd,"Saskatoon, SK S7T 0J1",6322-Cooks,2
,,101279889 Saskatchewan Ltd.,"Saskatoon, SK S7K 5C7",6211-Retail sales supervisors,1
,,102010838 Saskatchewan Ltd.,"Wolseley, SK S0G 5H0",6211-Retail sales supervisors,1
,,102015180 Saskatchewan Ltd.,"MELVILLE, SK S0A 2P0",6311-Food service supervisors,1
,,,,6322-Cooks,2
,,1981761 Alberta Ltd,"SASKATOON, SK S7J 2G2",6211-Retail sales supervisors,2
,,Albert Enterprises Ltd.,"Radisson, SK S0K 3L0",6322-Cooks,1
,,Atha Hotel Ltd o/a Ramada Carlyle Hotel,"Carlyle, SK S0C 0R0",6312-Executive housekeepers,1
,,Caraway Grill Ltd,"Regina, SK S4P 1X3",6311-Food service supervisors,1
,,,,6322-Cooks,2
,,GP Foods Services Inc,"Saskatoon, SK S7T 0H9",6311-Food service supervisors,1
,,GTR Oilfield Services Inc O/A Pierce Lake Lodge,"PIERCELAND, SK S0M 2K0",6315-Cleaning supervisors,1
,,JS Inn Ltd.,"North Battleford, SK S9A 2R7","6313-Accommodation, travel, tourism and related services supervisors",1
,,KP Group Ventures Ltd.,"Moosomin, SK S0G 3N0",6312-Executive housekeepers,1
,,Lee & Song Enterprises Ltd o/a Lanovaz Bigway Foods,"DUCK LAKE, SK S0K 1J0",6211-Retail sales supervisors,1
,,MacNeil Motors Inc.,"MARTENSVILLE, SK S0K 2T0",6732-Specialized cleaners,1
,,Pump Jacks Saloon & Steakhouse,"Weyburn, SK S4H 3B3",6322-Cooks,1
,,Rosetown ESSO Family Restaurant,"ROSETOWN, SK S0L 2V0",6322-Cooks,1
,  Primary Agriculture,101299221 Saskatchewan Ltd.,"ROSETOWN, SK S0L 2V0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Barrich Farms (1994) Ltd,"OUTLOOK, SK S0L 2N0",8431-General farm workers,11
