"Employers who were Issued a Positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and Business Location in 2020 (April-June)",,,,,
Province/Territory,Stream,Employer Name,Address,Occupation,Approved Positions
Ontario,  Primary Agriculture,1808278 Ontario Inc,"Kingsville, ON N9Y 2E4",8432-Nursery and greenhouse workers,14
Ontario,  Primary Agriculture,1810820 Ontario LTD,"La Salette, ON N0E 1H0",8431-General farm workers,9
Ontario,  Primary Agriculture,1866025 Ontario Inc.,"Brussels, ON N0G 1H0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,1891997 Ontario Inc,"Simcoe, ON N3Y 4K1",8431-General farm workers,5
Ontario,  Primary Agriculture,1974568 Ontario Limited,"Leamington, ON N8H 3V8",8432-Nursery and greenhouse workers,75
Ontario,  Primary Agriculture,2131876 Ontairo Limited,"Aylmer, ON N5H 2R5",8431-General farm workers,110
Ontario,  Primary Agriculture,2156141 Ontario Ltd,"Jordan Station, ON L0R 1S0",8431-General farm workers,11
Ontario,  Primary Agriculture,2205683 Ontario Inc,"Brantford, ON N3T 5L5",8431-General farm workers,6
Ontario,  Primary Agriculture,2226550 Ontario Inc.,"La Salette, ON N0E 1H0",8431-General farm workers,4
Ontario,  Primary Agriculture,2226987 Ontario Ltd.,"Scotland, ON N0E 1R0",8431-General farm workers,10
Ontario,  Primary Agriculture,2230330 ONTARIO LIMITED,"Delhi, ON N4B 2W6",8431-General farm workers,3
Ontario,  Primary Agriculture,2234530 ONT LTD.,"St. Williams, ON N0E 1P0",8431-General farm workers,6
Ontario,  Primary Agriculture,2252045 ontario ltd,"Burford, ON N0E 1A0",8431-General farm workers,5
Ontario,  Primary Agriculture,2307647 Ontario Limited,"R.R. # 3 Vanessa, ON N0E 1V0",8431-General farm workers,3
Ontario,  Primary Agriculture,2333281 Ontario Ltd,"Chatham, ON N7M 0R4",8432-Nursery and greenhouse workers,20
Ontario,  Primary Agriculture,2368000 ontario limited,"RR3# Harley, ON N0E 1E0",8431-General farm workers,7
Ontario,  Primary Agriculture,2400385 Ontario Inc,"Melancthon, ON L9V 1T6",8431-General farm workers,4
Ontario,  Primary Agriculture,2492309 Ontario Limited,"Kingsville, ON N9Y 2E4",8432-Nursery and greenhouse workers,79
Ontario,  Primary Agriculture,2507083 Ontario Inc,"Otterville, ON N0J 1R0",8431-General farm workers,9
Ontario,  Primary Agriculture,2510254 Ontario Inc,"Brantford, ON N3T 0G2",8431-General farm workers,8
Ontario,  Primary Agriculture,2583381 Ontario Inc.,"East Garafaxa, ON L0N 1G0",8431-General farm workers,3
Ontario,  Primary Agriculture,2636227 Ontario Inc.,"Clarksburg, ON N0H 1J0",8431-General farm workers,9
Ontario,  Primary Agriculture,3-Man Farm Inc.,"Mississauga, ON L5M 0E1",8431-General farm workers,2
Ontario,  Primary Agriculture,473355 Ontario Limited,"Niagara-on-the-Lake, ON L0S 1J0",8431-General farm workers,13
Ontario,  Primary Agriculture,617885 Ontario Ltd. O/A Jem Farms,"Ruthven, ON N0P 2G0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,617885 Ontario Ltd. O/A Jem Farms,"Ruthven, ON N0P 2G0",8432-Nursery and greenhouse workers,52
Ontario,  Primary Agriculture,6680283 Canada Inc,"St-Eugène, ON K0B 1P0",8431-General farm workers,1
Ontario,  Primary Agriculture,711811 Ontario Inc,"Milton, ON L9E 0Y8",8431-General farm workers,1
Ontario,  Primary Agriculture,768308 Ontario Inc,"Thamesville, ON N0P 2K0",8431-General farm workers,14
Ontario,  Primary Agriculture,776536 ont ltd,"colborne, ON K0K 1S0",8431-General farm workers,1
Ontario,  Primary Agriculture,794803 Ontario Inc.,"Millgrove, ON L0R 1V0",8432-Nursery and greenhouse workers,14
Ontario,  Primary Agriculture,8342008 Canada Ltd,"WATERFORD, ON N0E 1Y0",8432-Nursery and greenhouse workers,1
Ontario,  Primary Agriculture,869792 ONTARIO LTD,"Dresden, ON N0P 1M0",8431-General farm workers,4
Ontario,  Primary Agriculture,A.H. Garden Produce Inc.,"Mississauga, ON L5J 3C5",8431-General farm workers,1
Ontario,  Primary Agriculture,Albuna Express Ltd.,"Leamington, ON N8H 3V5",8432-Nursery and greenhouse workers,2
Ontario,  Primary Agriculture,Amco Farms Inc.,"Leamington, ON N8H 3W1","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",8
Ontario,  Primary Agriculture,Amco Farms Inc.,"Leamington, ON N8H 3W1",8432-Nursery and greenhouse workers,30
Ontario,  Primary Agriculture,Andrewes Farm Limited,"Beamsville, ON L0R 1B3",8431-General farm workers,2
Ontario,  Primary Agriculture,Aphria Inc,"LEAMINGTON, ON N8H 1N8",8432-Nursery and greenhouse workers,55
Ontario,  Primary Agriculture,Ardis Ranch Inc.,"Wallaceburg, ON N8A 4L3",8431-General farm workers,5
Ontario,  Primary Agriculture,ASHLEY GARDENS INC.,"Leamington, ON N8H 3V8",8432-Nursery and greenhouse workers,10
Ontario,  Primary Agriculture,AUSABLE ORCHARDS LTD.,"London, ON N6P 1M6",8431-General farm workers,12
Ontario,  Primary Agriculture,Bay Ridge Orchards Limited,"Meaford, ON N4L 1X6",8431-General farm workers,8
Ontario,  Primary Agriculture,BERKDALE FARMS INC,"MARKDALE, ON N0C 1H0",8431-General farm workers,1
Ontario,  Primary Agriculture,BEST ASIA FARMS LTD.,"Queensville, ON L0G 1R0",8431-General farm workers,30
Ontario,  Primary Agriculture,Beverly Greenhouses Limited,"Waterdown, ON L8B 1K2",8432-Nursery and greenhouse workers,7
Ontario,  Primary Agriculture,Birch Lawn Farms Ltd.,"Atwood, ON N0G 1B0",8431-General farm workers,2
Ontario,  Primary Agriculture,Boekestyn Greenhouses Inc.,"Jordan Station, ON L0R 1S0",8432-Nursery and greenhouse workers,1
Ontario,  Primary Agriculture,BRADFORD GREENHOUSES LTD.,"BARRIE, ON L4M 4S4",8431-General farm workers,10
Ontario,  Primary Agriculture,Brandy Creek Farms Ltd,"La Salette, ON N0E 1H0",8431-General farm workers,6
Ontario,  Primary Agriculture,Brenn-B Farms Limited,"Waterdown, ON L8B 1L8",8431-General farm workers,1
Ontario,  Primary Agriculture,Bright Pork Livestock Inc.,"Bright, ON N0J 1B0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,Bull Market Farms Inc,"Leamington, ON N8H 5K9",8432-Nursery and greenhouse workers,6
Ontario,  Primary Agriculture,Burnham Family Farm Market Ltd.,"Cobourg, ON K9A 4J7",8431-General farm workers,2
Ontario,  Primary Agriculture,C.J. Bradley & Sons Limited,"Cottam, ON N0R 1B0",8431-General farm workers,3
Ontario,  Primary Agriculture,Caledon Produce Farms Ltd.,"Burford, ON N0E 1A0",8431-General farm workers,12
Ontario,  Primary Agriculture,Cervini Farms (1993) Inc.,"Leamington, ON N8H 3V5",8432-Nursery and greenhouse workers,38
Ontario,  Primary Agriculture,Chary Produce Ltd.,"Oakland, ON N0E 1L0",8431-General farm workers,5
Ontario,  Primary Agriculture,Chip's Produce Ltd,"Bradford, ON L3Z 4A7",8431-General farm workers,5
Ontario,  Primary Agriculture,chpajo farms ltd.,"Wallaceburg, ON N8A 4L3",8431-General farm workers,1
Ontario,  Primary Agriculture,Clendenning Bayview Farms Inc.,"Blenheim, ON N0P 1A0",8431-General farm workers,25
Ontario,  Primary Agriculture,Creekside Greenhouses Limited,"Jordan Station, ON L0R 1S0",8432-Nursery and greenhouse workers,2
Ontario,  Primary Agriculture,Crimson Lane Farms Inc,"Moorefield, ON N0G 2K0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,DA FENG FARMS INC.,"Port Hope, ON L1A 3V5",8431-General farm workers,2
Ontario,  Primary Agriculture,Debackere Farms Inc,"Union, ON N0L 2L0",8431-General farm workers,6
Ontario,  Primary Agriculture,DeGroot Pork Net Inc.,"MONKTON, ON N0K 1P0",8431-General farm workers,5
Ontario,  Primary Agriculture,Den Boer Family Farm Inc.,"Otterville, ON N0J 1R0",8431-General farm workers,6
Ontario,  Primary Agriculture,Dentz Orchards and Berry Farm Inc,"Iroquois, ON K0E 1K0",8431-General farm workers,3
Ontario,  Primary Agriculture,DeVries Fruit Farm Ltd,"Fenwick, ON L0S 1C0",8431-General farm workers,4
Ontario,  Primary Agriculture,Di Ciocco Farms Eastside Inc,"Leamington, ON N8H 3V6",8432-Nursery and greenhouse workers,9
Ontario,  Primary Agriculture,Di Ciocco Farms Incorporated,"Leamington, ON N8H 3V6",8432-Nursery and greenhouse workers,19
Ontario,  Primary Agriculture,Di Ciocco Sonny Farms Inc,"Leamington, ON N8H 3V6",8432-Nursery and greenhouse workers,4
Ontario,  Primary Agriculture,DIMENNA NURSERIES LIMITED,"Ruthven, ON N0P 2G0",8432-Nursery and greenhouse workers,1
Ontario,  Primary Agriculture,Donnandale Farms Inc.,"Stirling, ON K0K 3E0",8431-General farm workers,2
Ontario,  Primary Agriculture,Drakeland Farms Ltd.,"Grande Pointe, ON N0P 1S0",8611-Harvesting labourers,30
Ontario,  Primary Agriculture,DT Enterprise Farms Ltd,"Ruthven, ON N0P 2G0",8431-General farm workers,20
Ontario,  Primary Agriculture,DUTCH MILL GARDENS INC,"LYNDEN, ON L0R 1T0",8431-General farm workers,16
Ontario,  Primary Agriculture,DUTCHMASTER NURSERIES LTD,"Brougham, ON L0H 1A0","8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",1
Ontario,  Primary Agriculture,DVS Farms Ltd.,"Tupperville, ON N0P 2M0",8431-General farm workers,8
Ontario,  Primary Agriculture,Dykstra Orchards Ltd,"Clarksburg, ON N0H 1J0",8431-General farm workers,1
Ontario,  Primary Agriculture,eNature Greenhouses Inc.,"Carlisle, ON L0R 1H0",8432-Nursery and greenhouse workers,10
Ontario,  Primary Agriculture,Erieview Acres Inc,"KINGSVILLE, ON N9Y 2N1",8432-Nursery and greenhouse workers,1
Ontario,  Primary Agriculture,ES Holdings Inc.,"Courtland, ON N0J 1E0",8431-General farm workers,5
Ontario,  Primary Agriculture,"Exeter Produce & Storage Company, Limited","Exeter, ON N0M 1S3",8431-General farm workers,2
Ontario,  Primary Agriculture,EZ GROW FARMS LTD.,"Langton, ON N0E 1G0",8431-General farm workers,27
Ontario,  Primary Agriculture,F&R Mushroom Farms Ltd.,"Greenwood, ON L1Y 1A2",8431-General farm workers,4
Ontario,  Primary Agriculture,F. MORO AND SONS LTD,"BRADFORD, ON L3Z 4B7",8431-General farm workers,6
Ontario,  Primary Agriculture,Ferme Alfadair Ltee,"Beauchamp TWP, ON P0J 1E0",8431-General farm workers,2
Ontario,  Primary Agriculture,Ferme Darkalin Inc,"Dalkeith, ON K0B 1E0",8431-General farm workers,2
Ontario,  Primary Agriculture,Ferme Henrard & Fils Inc.,"Curran, ON K0B 1C0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,Ferme P-A inc.,"Alfred, ON K0B 1A0",8431-General farm workers,2
Ontario,  Primary Agriculture,Filsingers Organic Ltd.,"Ayton, ON N0G 1C0",8611-Harvesting labourers,6
Ontario,  Primary Agriculture,Flimo Farms Ltd,"WILLIAMSTOWN, ON K0C 2J0",8431-General farm workers,9
Ontario,  Primary Agriculture,Flinkert Farms Inc.,"New Liskeard, ON P0J 1P0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Ontario,  Primary Agriculture,Flower Group Operating Inc - One Floral Group,"Jordan Station, ON L0R 1S0",8432-Nursery and greenhouse workers,79
Ontario,  Primary Agriculture,Foothill Greenhouses Ltd,"KING, ON L7B 0G6",8432-Nursery and greenhouse workers,4
Ontario,  Primary Agriculture,Fruitwood Farms Ltd.,"Denfield, ON N0M 1P0",8611-Harvesting labourers,20
Ontario,  Primary Agriculture,G & M Howe & Sons Ltd,"Aylmer, ON N5H 2R4",8431-General farm workers,5
Ontario,  Primary Agriculture,Gaio Acres Ltd.,"Niagara-on-the-Lake, ON L0S 1J0",8431-General farm workers,2
Ontario,  Primary Agriculture,George Braun and Sons Farms LTD,"Delhi, ON N4B 2W4",8431-General farm workers,14
Ontario,  Primary Agriculture,Georgedale Farms Ltd,"ELMWOOD, ON N0G 1S0",8431-General farm workers,1
Ontario,  Primary Agriculture,Gillette Farms inc.,"Embrun, ON K0A 1W0",8431-General farm workers,3
Ontario,  Primary Agriculture,Glenn Whiteside Farms ltd,"Alliston, ON L9R 1V2",8431-General farm workers,2
Ontario,  Primary Agriculture,Goodyear Farm Ltd,"Queensville, ON L0G 1R0",8431-General farm workers,35
Ontario,  Primary Agriculture,Grass Roots Farms King Ltd,"Kettleby, ON L7B 0C7",8431-General farm workers,3
Ontario,  Primary Agriculture,Great Lakes Greenhouses Inc.,"Leamington, ON N8H 3V6",8431-General farm workers,5
Ontario,  Primary Agriculture,Great Lakes Greenhouses Inc.,"Leamington, ON N8H 3V6",8432-Nursery and greenhouse workers,14
Ontario,  Primary Agriculture,Green Pack Produce Inc,"ORONO, ON L0B 1M0",8431-General farm workers,4
Ontario,  Primary Agriculture,Greenhill Produce (Thamesville) Ltd,"Thamesville, ON N0P 2K0",8432-Nursery and greenhouse workers,62
Ontario,  Primary Agriculture,Greenholm Farms Ltd.,"Embro, ON N0J 1J0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,Greenholm Farms Ltd.,"Embro, ON N0J 1J0",8431-General farm workers,2
Ontario,  Primary Agriculture,Greiden Farms Ltd,"St. Marys, ON N4X 1C5","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,Grenellen Farms Ltd.,"Embro, ON N0J 1J0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,H & L Koelen Farms ltd,"Paisley, ON N0G 2N0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Ontario,  Primary Agriculture,H&A Mastronardi Farms Ltd.,"Kingsville, ON N9Y 2E5",8432-Nursery and greenhouse workers,3
Ontario,  Primary Agriculture,H-9 Farms Ltd.,"Stratford, ON N5A 6S4","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Ontario,  Primary Agriculture,hanns farms ltd,"La Salette, ON N0E 1H0",8431-General farm workers,7
Ontario,  Primary Agriculture,Hayter's Turkey Farms Ltd,"Dashwood, ON N0M 1N0",8431-General farm workers,6
Ontario,  Primary Agriculture,Hendrix Genetics Ltd,"Kitchener, ON N2K 3S2",8431-General farm workers,4
Ontario,  Primary Agriculture,Henria Holsteins Inc.,"Conn, ON N0G 1N0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,Henria Holsteins Inc.,"Conn, ON N0G 1N0",8431-General farm workers,1
Ontario,  Primary Agriculture,Hi-Berry Farm Inc,"Port Elgin, ON N0H 2C6",8431-General farm workers,1
Ontario,  Primary Agriculture,Highline Produce Limited,"Leamington, ON N8H 3V5",8611-Harvesting labourers,33
Ontario,  Primary Agriculture,Hildreth Orchards Limited,"Jordan Station, ON L0R 1S0",8431-General farm workers,4
Ontario,  Primary Agriculture,Hildrian Farms Limited,"Troy, ON L0R 2B0",8431-General farm workers,10
Ontario,  Primary Agriculture,Hillside Hothouse Ltd,"Ruthven, ON N0P 2G0",8432-Nursery and greenhouse workers,2
Ontario,  Primary Agriculture,HORTICO INC,"Waterdown, ON L0R 2H1",8432-Nursery and greenhouse workers,1
Ontario,  Primary Agriculture,HR Desa Enterprises Ltd.,"Pain Court, ON N0P 1Z0",8611-Harvesting labourers,15
Ontario,  Primary Agriculture,Huffman Incorporated,"VANESSA, ON N0E 1V0",8431-General farm workers,4
Ontario,  Primary Agriculture,Hundt Farms Incorporated,"Seaforth, ON N0K 1W0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,I.P.R. Farms Ltd,"Kingsville, ON N9Y 2E4",8432-Nursery and greenhouse workers,8
Ontario,  Primary Agriculture,J & L Walker Farms Ltd.,"Aylmer, ON N5H 2R1",8431-General farm workers,3
Ontario,  Primary Agriculture,J & M Sandhill Greenhouses Ltd,"Leamington, ON N8H 3V5",8432-Nursery and greenhouse workers,7
Ontario,  Primary Agriculture,J Lipani & Son Sod Farms Ltd.,"Queensville, ON L0E 1R0",8431-General farm workers,1
Ontario,  Primary Agriculture,J. Brush Farms Ltd.,"Harrow, ON N0R 1G0",8431-General farm workers,2
Ontario,  Primary Agriculture,J.M. Hydroponics Ltd.,"Kingsville, ON N9Y 2N5",8432-Nursery and greenhouse workers,19
Ontario,  Primary Agriculture,Janayco LTD,"Clear Creek, ON N0E 1C0",8431-General farm workers,4
Ontario,  Primary Agriculture,Jc Fresh Farms Ltd.,"Kingsville, ON N9Y 2E5",8432-Nursery and greenhouse workers,8
Ontario,  Primary Agriculture,JE HIEBERT FARMS INC,"Langton, ON N0E 1G0",8431-General farm workers,3
Ontario,  Primary Agriculture,Jennen Bros Inc,"Dresden, ON N0P 1M0",8431-General farm workers,8
Ontario,  Primary Agriculture,JR's Farming Ltd.,"VANESSA, ON N0E 1V0",8431-General farm workers,7
Ontario,  Primary Agriculture,K.G.K PATIO FLOWERS INC.,"BURLIGTON, ON L7M 0P7",8432-Nursery and greenhouse workers,1
Ontario,  Primary Agriculture,Kai Wiens Family Farm Ltd.,"NIAGARA ON THE LAKE, ON L0S 1J0",8431-General farm workers,3
Ontario,  Primary Agriculture,Keint-he Winery and Vineyards Ltd.,"Wellington, ON K0K 3L0",8431-General farm workers,2
Ontario,  Primary Agriculture,Kent Farm Supplies Limited,"Blenheim, ON N0P 1A0",8431-General farm workers,1
Ontario,  Primary Agriculture,Kie Farms Ltd,"St. Marys, ON N4X 1C4",8431-General farm workers,6
Ontario,  Primary Agriculture,KOZICKI PRODUCE LIMITED,"WATERFORD, ON N0E 1Y0",8431-General farm workers,4
Ontario,  Primary Agriculture,La Gantoise Inc,"Lefaivre, ON K0B 1J0",8431-General farm workers,1
Ontario,  Primary Agriculture,Lebo Farms Ltd,"Leamington, ON N8H 3V8",8432-Nursery and greenhouse workers,50
Ontario,  Primary Agriculture,Level Plains Enterprises Inc.,"WAWA, ON P0S 1K0",8431-General farm workers,3
Ontario,  Primary Agriculture,Linwell Gardens Ltd.,"Beamsville, ON L0R 1B0",8432-Nursery and greenhouse workers,5
Ontario,  Primary Agriculture,M & C Bontje Ltd.,"Thorndale, ON N0M 2P0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,M & J Chromczak Farms Inc.,"BROWNSVILLE, ON N0L 1C0",8431-General farm workers,4
Ontario,  Primary Agriculture,M&M Farms Ltd.,"Leamington, ON N8H 4H3",8432-Nursery and greenhouse workers,3
Ontario,  Primary Agriculture,MacSween Farms Ltd.,"NIAGARA ON THE LAKE, ON L0S 1J0",8431-General farm workers,20
Ontario,  Primary Agriculture,Mae-Mart Farms Ltd.,"WATERFORD, ON N0E 1Y0",8431-General farm workers,2
Ontario,  Primary Agriculture,Manderley Turf Products Inc.,"Ottawa, ON K2E 7S6",8431-General farm workers,11
Ontario,  Primary Agriculture,Marshland Gardens Ltd,"Bradford, ON L3Z 2A6",8431-General farm workers,2
Ontario,  Primary Agriculture,Medisun Inc.,"Grande Pointe, ON N0P 1S0",8432-Nursery and greenhouse workers,22
Ontario,  Primary Agriculture,Mendonca Holdings Inc.,"TILLSONBURG, ON N4G 4G7",8431-General farm workers,5
Ontario,  Primary Agriculture,Michael Klosler Farms Ltd.,"Windham Centre, ON N0E 2A0",8431-General farm workers,1
Ontario,  Primary Agriculture,Milagre Farms Limited,"Denfield, ON N0M 1P0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",3
Ontario,  Primary Agriculture,Miles Produce Ltd.,"WATERFORD, ON N0E 1Y0",8431-General farm workers,15
Ontario,  Primary Agriculture,Millbank Fur Farm Limited,"Rockwood, ON N0B 2K0",8431-General farm workers,2
Ontario,  Primary Agriculture,Monaghan Mushrooms Ltd.,"Campbellville, ON L0P 1B0",8431-General farm workers,28
Ontario,  Primary Agriculture,MOR GRO FARMS INC.,"Kingsville N9Y 2E5, ON N9Y 2E5",8432-Nursery and greenhouse workers,11
Ontario,  Primary Agriculture,Muller Farms Ltd,"Dashwood, ON N0M 1N0",8431-General farm workers,4
Ontario,  Primary Agriculture,Nature Fresh Farms Inc.,"Leamington, ON N8H 3V8","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",4
Ontario,  Primary Agriculture,Nature Fresh Farms Inc.,"Leamington, ON N8H 3V8",8432-Nursery and greenhouse workers,38
Ontario,  Primary Agriculture,Netherend Acres Inc.,"Thamesford, ON N0M 2M0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Ontario,  Primary Agriculture,Newbrabant Farms Ltd.,"Lancaster, ON K0C 1N0",8431-General farm workers,2
Ontario,  Primary Agriculture,Newcastle Farms LTD.,"Leamington, ON N8H 3V5",8432-Nursery and greenhouse workers,1
Ontario,  Primary Agriculture,Obeid Farms 2014 Inc.,"VANESSA, ON N0E 1V0",8431-General farm workers,6
Ontario,  Primary Agriculture,Oldwood Farms Inc.,"Hammond, ON K0A 2A0",8431-General farm workers,1
Ontario,  Primary Agriculture,Ontario Mushroom Farms Inc.,"Ashburn, ON L0B 1A0",8432-Nursery and greenhouse workers,14
Ontario,  Primary Agriculture,Ontario Pickle Corporation,"Chatham, ON N7M 5J7",8431-General farm workers,8
Ontario,  Primary Agriculture,Ontario Plants Propagation Limited,"St. Thomas, ON N5P 3T2",8432-Nursery and greenhouse workers,60
Ontario,  Primary Agriculture,Orangeline Farms Limited,"Leamington, ON N8H 3V8",8432-Nursery and greenhouse workers,17
Ontario,  Primary Agriculture,Orchard Park Growers Ltd.,"St. Catharines, ON L2R 6P9",8432-Nursery and greenhouse workers,3
Ontario,  Primary Agriculture,P&S VanBerlo Limited,"Simcoe, ON N3Y 4K3",8431-General farm workers,6
Ontario,  Primary Agriculture,Pais Farms Inc.,"Simcoe, ON N3Y 4K3",8431-General farm workers,3
Ontario,  Primary Agriculture,Peeters Mushrooms Inc.,"Blenheim, ON N0P 1A0",8611-Harvesting labourers,12
Ontario,  Primary Agriculture,Peppertree Greenhouses Ltd.,"Tupperville, ON N0P 2M0",8432-Nursery and greenhouse workers,6
Ontario,  Primary Agriculture,PERFECT PICK FARMS LTD.,"London, ON N6G 0K4",8431-General farm workers,20
Ontario,  Primary Agriculture,Peter Jennen Farms Inc,"Thamesville, ON N0P 2K0",8431-General farm workers,4
Ontario,  Primary Agriculture,Peter Welsh Farming Inc. / Wayne Welsh Farms Inc.,"Scotland, ON N0E 1R0",8431-General farm workers,12
Ontario,  Primary Agriculture,Pfenning's Organic Vegetables Inc.,"New Hamburg, ON N3A 1T1",8431-General farm workers,20
Ontario,  Primary Agriculture,PharmHouse Inc.,"Staples, ON N0P 2J0",8432-Nursery and greenhouse workers,11
Ontario,  Primary Agriculture,Philip Verhoeve Farms LTD,"Delhi, ON N4B 2W4",8431-General farm workers,6
Ontario,  Primary Agriculture,Piccioni Bros. Mushroom Farm Ltd,"Dundas, ON L9H 5E2",8611-Harvesting labourers,20
Ontario,  Primary Agriculture,Pingle's Farm Market Ltd,"Hampton, ON L0B 1J0",8431-General farm workers,3
Ontario,  Primary Agriculture,Pomas Farms Inc.,"Staples, ON N0P 2J0",8431-General farm workers,55
Ontario,  Primary Agriculture,Procyk Farms (1994) Ltd,"WILSONVILLE, ON N0E 1Z0",8431-General farm workers,249
Ontario,  Primary Agriculture,PROPLANT PROPAGATION SERVICES LTD.,"Jarvis, ON N0A 1J0",8432-Nursery and greenhouse workers,28
Ontario,  Primary Agriculture,Protolight Farms Inc.,"Leamington, ON N8H 3V8",8432-Nursery and greenhouse workers,3
Ontario,  Primary Agriculture,QUEENSTON TENDER FRUIT LTD,"NIAGARA ON THE LAKE, ON L0S 1J0",8431-General farm workers,7
Ontario,  Primary Agriculture,R&G Magda Holdings Inc.,"Princeton, ON N0J 1V0",8431-General farm workers,2
Ontario,  Primary Agriculture,Red Devon Grassfed Organics Ltd,"BOTHWELL, ON N0P 1C0",8431-General farm workers,2
Ontario,  Primary Agriculture,Reed Verhoeve Farms Inc,"Simcoe, ON N3Y 4K6",8431-General farm workers,6
Ontario,  Primary Agriculture,Reynolds Harvesting Ltd.,"Picton, ON K0K 2T0",8431-General farm workers,2
Ontario,  Primary Agriculture,Ricciardelli Orchards Ltd,"NIAGARA ON THE LAKE, ON L0S 1J0",8431-General farm workers,4
Ontario,  Primary Agriculture,Richwin Farms Inc.,"Jordan Station, ON L0R 1S0",8431-General farm workers,4
Ontario,  Primary Agriculture,Robertdale Farms Ltd,"Earlton, ON P0J 1E0",8431-General farm workers,2
Ontario,  Primary Agriculture,Rocky Top Farming Ltd.,"WATERFORD, ON N0E 1Y0",8431-General farm workers,5
Ontario,  Primary Agriculture,Roelands Plant Farms Inc.,"Lambton Shores, ON N0N 1J5",8432-Nursery and greenhouse workers,31
Ontario,  Primary Agriculture,Rosa Flora Growers Ltd,"Dunnville, ON N1A 2W2",8432-Nursery and greenhouse workers,8
Ontario,  Primary Agriculture,RTM Farms LTD,"Leamington, ON N8H 3V8",8432-Nursery and greenhouse workers,8
Ontario,  Primary Agriculture,RV FARMS INC.,"Langton, ON N0E 1G0",8431-General farm workers,1
Ontario,  Primary Agriculture,Sandy Shore Farms Limited,"Port Burwell, ON N0J 1T0",8431-General farm workers,15
Ontario,  Primary Agriculture,Scholten Farms Inc,"Simcoe, ON N3Y 4K3",8431-General farm workers,1
Ontario,  Primary Agriculture,Schuyler Farms Limited,"Simcoe, ON N3Y 4K3",8431-General farm workers,4
Ontario,  Primary Agriculture,Sedum Master Inc.,"Princeton, ON N0J 1V0",8431-General farm workers,1
Ontario,  Primary Agriculture,Shabatura Farms Ltd.,"Windham Centre, ON N0E 2A0",8431-General farm workers,34
Ontario,  Primary Agriculture,Smith Gardens Inc.,"Queensville, ON L0G 1R0",8431-General farm workers,1
Ontario,  Primary Agriculture,Son in Law Produce LTD.,"Otterville, ON N0J 1R0",8431-General farm workers,7
Ontario,  Primary Agriculture,Sonibrand Farm Inc.,"St.Isidore, ON K0C 2B0",8431-General farm workers,1
Ontario,  Primary Agriculture,South West Ontario Veterinary Professional Corporation,"Stratford, ON N4Z 1H3","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,Spring Valley Gardens (Niagara) Inc.,"St. Catharines, ON L2R 6P9",8432-Nursery and greenhouse workers,19
Ontario,  Primary Agriculture,Stanton Bros Ltd,"Ilderton, ON N0M 2A0",8431-General farm workers,2
Ontario,  Primary Agriculture,Stefina Farms Inc.,"Blenheim, ON N0P 1A0",8431-General farm workers,3
Ontario,  Primary Agriculture,Sunrise Farms Limited,"Kingsville, ON N9Y 2N6",8432-Nursery and greenhouse workers,2
Ontario,  Primary Agriculture,Sunrise Greenhouses LTD,"Vineland, ON L0R 2E0",8432-Nursery and greenhouse workers,6
Ontario,  Primary Agriculture,Sweaburg Orchard Inc.,"Beachville, ON N0J 1A0",8431-General farm workers,9
Ontario,  Primary Agriculture,Terpstra Farms Ltd,"Brussels, ON N0G 1H0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,The Craigmore Group Inc,"Schomberg, ON L0G 1T0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Ontario,  Primary Agriculture,The Hop Farm Inc.,"Gormley, ON L0H 1G0",8431-General farm workers,1
Ontario,  Primary Agriculture,Thwaites Farms Ltd.,"NIAGARA ON THE LAKE, ON L0S 1J0",8431-General farm workers,4
