"Employers who were issued a negative Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2018 (October-December)",,,,,
Province/Territory,Stream,Employer,Address,Occupaitons under NOC 2011,Requested Positions
Employers carrying on business in Canada with Head Office outside of Canada,    High Wage,Biscuit Filmworks,"LOS ANGELES, 90038","5131-Producers, directors, choreographers and related occupations",2
,,Epoch Films,"LOS ANGELES, 90038","5131-Producers, directors, choreographers and related occupations",2
,,Epoch Media Group,"NEW YORK, 10014","5131-Producers, directors, choreographers and related occupations",1
,,Frozen Man Inc.,"New York, 10011","5131-Producers, directors, choreographers and related occupations",1
,,Harvest Films Inc.,"Santa Monica, 90404","5131-Producers, directors, choreographers and related occupations",1
,,"Humble TV, LLC","New York, 10011","5131-Producers, directors, choreographers and related occupations",1
,,Iconoclast Content Inc,"Culver City, 90232","5131-Producers, directors, choreographers and related occupations",2
,,Merman,"Los Angeles, 90045","5131-Producers, directors, choreographers and related occupations",1
,,"Morton Jankel Zander, Inc","Los Angeles, 90064","5131-Producers, directors, choreographers and related occupations",1
,,"Park Pictures, LLC","New York, 10010","5131-Producers, directors, choreographers and related occupations",1
,,Radical Media LLC,"Santa Monica, 90404","5131-Producers, directors, choreographers and related occupations",5
,,"Reset Content, LLC","Santa Monica, 90404","5131-Producers, directors, choreographers and related occupations",1
,,"Something Ideal, Inc / M SS NG P ECES","BROOKLYN, 11222","5131-Producers, directors, choreographers and related occupations",1
,,Station Film,"NEW YORK, 11222","5131-Producers, directors, choreographers and related occupations",1
,,Stink LTD,"LONDON, EC1V9HL","5131-Producers, directors, choreographers and related occupations",1
,,Superprime Films,"Culver City, 90232","5131-Producers, directors, choreographers and related occupations",3
,,"The Corner Shop, Inc.","LOS ANGELES, 90025","5131-Producers, directors, choreographers and related occupations",1
,,Tool of North America LLC,"Santa Monica, 90404","5131-Producers, directors, choreographers and related occupations",1
Notes:,,,,,
1. The source for all information in this report is Employment and Social Development Canada's (ESDC) LMIA System.,,,,,
"2. This list excludes all personal names, such as employers of caregivers or business names that use or include personal names. For this reason, the list is not complete and does not reflect all employers who requested or received an LMIA. Should an employer wish to contact ESDC concerning the accuracy of their information, please contact NA-TFWP-PTET@hrsdc-rhdcc.gc.ca.",,,,,
"3. The employer name is manually entered in system. As such, accuracy of the names is subject to potential data entry error and inconsistent spelling.",,,,,
"4. Effective November 2016, NOC 2011 is being used. Prior to November 2016, all occupations under NOC 2006 were converted to the respective NOC 2011 occupation. Empirical concordance released by Statistics Canada was used to determine appropriate linkages.",,,,,
"5. Effective February 2018, LMIAs in support of Permanent Residence (PR) are excluded from TFWP statistics reporting, unless reported separately. This may impact statistics reported over time.",,,,,
"6. The LMIA System tracks TFW positions only, not TFWs who are issued a work permit or who enter Canada. Not all positions approved result in a work permit or a TFW entering Canada. For information on the number of work permits issued, please consult Immigration Refugees and Citizenship Canada's (IRCC) Facts and Figures: http://www.cic.gc.ca/english/resources/statistics/menu-fact.asp",,,,,
7. The numbers appearing in this release may differ slightly from those reported in previous releases of LMIA statistics due to data updates that occur over time.,,,,,
