"Employers who were issued a positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2018 (October-December)",,,,, 
Province/Territory,Stream,Employer,Address,Occupaitons under NOC 2011,Approved Positions 
,,1891745 Alberta Ltd o/a Shell Gas Station,"AIRDRIE, AB T4B 3G2",6211-Retail sales supervisors,2
,,1900528 Alberta Ltd. o/a Tim Horton's,"Grande Prairie, AB T8V 3Y2",6311-Food service supervisors,2
,,,,6322-Cooks,2
,,,,6332-Bakers,1
,,1904969 Alberta Ltd.,"Red Deer, AB T4N 1V1",6322-Cooks,1
,,1907500 Alberta Ltd o/a Ricky's All Day Grill,"EDMONTON, AB T6N 0A1",6311-Food service supervisors,1
,,,,6322-Cooks,2
,,1908100 Alberta Ltd. o/a Rundle Mountain Lodge,"Canmore, AB T1W 1L7",6315-Cleaning supervisors,1
,,1911364 Alberta Ltd. o/a VILLA MADINA,"Rocky View, AB T4A 0G3",6322-Cooks,2
,,1912485 Alberta Ltd. o/a Prime Taekwondo,"EDMONTON, AB T6X 0H4","5254-Program leaders and instructors in recreation, sport and fitness",1
,,1922136 Alberta Inc.o/a Panago Pizza,"Camrose, AB T4V 0K1",6311-Food service supervisors,2
,,1922262 Alberta Ltd. o/a Nomiya Noodle Bar,"EDMONTON, AB T6R 0R1",6322-Cooks,1
,,1923204 Alberta Ltd.,"Edmonton, AB T6J 5P4",6311-Food service supervisors,1
,,1925449 Alberta Ltd o/a Don Day Restaurant,"Turner Valley, AB T0L 2A0",6322-Cooks,1
,,1928969 Alberta Ltd.,"VALLEYVIEW, AB T0H 3N0",6311-Food service supervisors,1
,,1940828 Alberta INC. o/a Shinylife,"CALGARY, AB T2E 6N6",6211-Retail sales supervisors,1
,,1942316 Alberta Ltd. o/a Warburg Liqour Store,"Warburg, AB T0C 2T0",6211-Retail sales supervisors,1
,,1951374 Alberta Ltd.,"Edmonton, AB T6R 2X2",6311-Food service supervisors,1
,,1953221 Alberta Ltd. o/a Mary Brown's Famous Chicken & Taters,"Lethbridge, AB T1K 6Z3",6311-Food service supervisors,1
,,1956772 AB Ltd.,"Calgary, AB T3J 3K9",6311-Food service supervisors,1
,,,,6322-Cooks,1
,,1956987 Alberta Ltd.  o/a Little Caesars Pizza,"GRANDE PRAIRIE, AB T8W 0K8",6311-Food service supervisors,2
,,,,6322-Cooks,3
,,1959180 Alberta Ltd. o/a Wokbox Windermere,"EDMONTON, AB T6W 0S4",6322-Cooks,1
,,1959670 Alberta Ltd.,"Calgary, AB T2L 1V9",6322-Cooks,1
,,1962059 Alberta Ltd. o/a Trio Cafe,"Calgary, AB T3C 0Z8",6311-Food service supervisors,1
,,1963691 Alberta Ltd,"WESTLOCK, AB T7P 2C7",6211-Retail sales supervisors,1
,,1964546 Alberta Ltd. O/a Momo Yama Sushi,"CALGARY, AB T3E 4P2",6311-Food service supervisors,1
,,1966520 Alberta Ltd.,"Grand Prairie, AB T8W 0C7",6311-Food service supervisors,1
,,,,6322-Cooks,1
,,1967417 Alberta Inc. o/a Yokozuna Sushi Bar & Grill,"Okotoks, AB T1S 0B2",6311-Food service supervisors,1
,,,,6322-Cooks,1
,,1974848 Alberta Ltd. o/a Ricky's All Day Grill,"Calgary, AB T3H 2B5",6322-Cooks,2
,,1975538 Alberta Inc,"Beaumont, AB T4X 0G5",6311-Food service supervisors,1
,,1978913 Alberta Ltd. o/a Via Cibo Deerfoot Meadows,"Calgary, AB T2H 0B8",6322-Cooks,1
,,1982635 Alberta Ltd.,"EDMONTON, AB T6J 5L3",7511-Transport truck drivers,2
,,1983568 Alberta Ltd.,"Calgary, AB T2X 1N4",6311-Food service supervisors,1
,,1986016 Alberta Ltd. o/a LOFT Thai Eatery,"EDMONTON, AB T6W 0R9",6322-Cooks,1
,,1988052 Alberta Ltd.,"COCHRANE, AB T4C 2J1",6211-Retail sales supervisors,1
,,1989286 Alberta Inc.,"CALGARY, AB T2J 0P6",6341-Hairstylists and barbers,1
,,1995504 Alberta Ltd.,"MEDICINE HAT, AB T1A 6P1",6211-Retail sales supervisors,1
,,1999268 Alberta Ltd. o/a Creekwood Convenience and Pizza,"Edmonton, AB T6W 0Z3",6311-Food service supervisors,1
,,2000980 Alberta Ltd.,"CALGARY, AB T2M 3A4",6322-Cooks,1
,,2005658 Alberta Inc. o/a Sunset Motel,"FORT MACLEOD, AB T0L 0Z0",6312-Executive housekeepers,1
,,2009662 Alberta Ltd. o/a Monki Breakfast Club & Bistro,"CALGARY, AB T2R 0X4",6322-Cooks,1
,,2010889 Alberta Ltd. o/a Delburne Esso,"DELBURNE, AB T0M 0V0",6211-Retail sales supervisors,1
,,2011245 Alberta Ltd. o/a Hinton Dairy Queen,"HINTON, AB T7V 1T1",6311-Food service supervisors,4
,,2014985 Alberta Ltd. o/a Golden Apple Childcare and Out of School Daycare,"EDMONTON, AB T5W 1A2",4214-Early childhood educators and assistants,1
,,2019308 Alberta Inc. o/a Macleod Plaza Laundromat,"Calgary, AB T2J 3G8",6316-Other services supervisors,1
,,2030652 Alberta Ltd o/a J Permanent Makeup,"EDMONTON, AB T5N 1S1",6316-Other services supervisors,1
,,2030784 Alberta Inc.,"CALGARY, AB T3K 0L8",6311-Food service supervisors,2
,,2031445 Alberta Ltd o/a Fasgas,"Bonnyville, AB T9N 1A5",6211-Retail sales supervisors,1
,,2033261 Alberta Ltd o/a Ricky's All Day Grill,"Sherwood Park, AB T8A 2G4",6322-Cooks,2
,,2033966 Alberta Ltd.,"MUNDARE, AB T0B 3H0",6211-Retail sales supervisors,1
,,2036649 Alberta Ltd. o/a Wah Hing Meat Shop,"Calgary, AB T2G 0B6",6211-Retail sales supervisors,1
,,2037452 AB Ltd.,"CALGARY, AB T2G 5J5",6311-Food service supervisors,1
,,2039053 AB Ltd. o/a Island Bottle Depot,"BOW ISLAND, AB T0K 0G0",6211-Retail sales supervisors,1
,,2046651 Alberta Ltd. o/a Re Hair & Co,"ST. ALBERT, AB T8N 5C9",6341-Hairstylists and barbers,1
,,2052802 Alberta Ltd.,"CALGARY, AB T2P 2Y5",6322-Cooks,1
,,2052995 Alberta Ltd. o/a Sushi Ai,"Calgary, AB T3K 0S6",6322-Cooks,1
,,2054288 Alberta Ltd.,"EDMONTON, AB T5H 2L9",6311-Food service supervisors,1
,,2054649 Alberta Ltd.,"DRUMHELLER, AB T0J 0Y6",6322-Cooks,1
,,2056889 Alberta Ltd. o/a Subway,"Calgary, AB T2L 1V9",6311-Food service supervisors,1
,,2059406 ALBERTA LTD. o/a Siksika Restaurant,"Calgary, AB T3H 3H5",6311-Food service supervisors,1
,,2062228 Alberta Ltd.,"CALGARY, AB T3M 2P8","5254-Program leaders and instructors in recreation, sport and fitness",1
,,2070123 Alberta Ltd.,"Edmonton, AB T6T 0P9",6211-Retail sales supervisors,1
,,2072821 Alberta Ltd. o/a 87 Pizza & Donair,"EDMONTON, AB T5T 6J1",6322-Cooks,1
,,2093924 Ontario Inc.,"Edmonton, AB T6B 3S3",6315-Cleaning supervisors,1
,,272009 Alberta Ltd. o/a Second Cup,"Calgary, AB T2P 3C5",6311-Food service supervisors,1
,,281122 Alberta Ltd o/a Lee Garden Restaurant,"Edmonton, AB T6L 3Z7",6322-Cooks,1
,,324195 Alberta Ltd o/a KC'S CAVERNA,"Stony Plain, AB T7Z 1L4",6322-Cooks,1
,,330493 Alberta Ltd,"EDSON, AB T7E 1C3",6311-Food service supervisors,4
,,389502 Alberta Ltd o/a Bings #1 Restaurant,"STONY PLAIN, AB T7Z 1T3",6311-Food service supervisors,1
,,416979 Alberta Ltd.,"Wainwright, AB T9W 1T5",6322-Cooks,1
,,516908 Alberta Ltd o/a Polish Food Centre,"Edmonton, AB T5G 0X9",6211-Retail sales supervisors,1
,,5438412 Manitoba Ltd,"Edmonton, AB T6T 1X6",6311-Food service supervisors,2
,,581257 Alberta Ltd o/a CROWN LIQUOR STORE,"EDMONTON, AB T6C 4A7",6211-Retail sales supervisors,2
,,585606 Alberta Ltd o/a Subway Restaurant,"Bonnyville, AB T9N 2G7",6311-Food service supervisors,1
,,6005942 Manitoba Ltd. o/a Domino's Pizza,"Leduc, AB T9E 8N4",6311-Food service supervisors,1
,,6101275 Manitoba Ltd. o/a Domino's Pizza,"Edmonton, AB T6T 1X6",6311-Food service supervisors,2
,,639890 Alberta Ltd o/a Seoul Country Restaurant,"Banff, AB T1L 1B1",6311-Food service supervisors,1
,,,,6322-Cooks,1
,,653699 Alberta Ltd,"CARDSTON, AB T0K 0K0",6322-Cooks,1
,,673855 Alberta Ltd. o/a Royal Pizza & Spaghetti House Ltd,"Edmonton, AB T6E 1Y1",6322-Cooks,1
,,722409 Alberta Ltd. O/a Niton Subway,"NITON JUNCTION, AB T0E 1S0",6311-Food service supervisors,1
,,726913 Alberta Ltd o/a Stars Inn and Suites,"Fort Saskatchewan, AB T8L 2T2","6313-Accommodation, travel, tourism and related services supervisors",1
,,730280 Alberta Ltd. o/a A&W,"Calgary, AB T3A 2L7",6311-Food service supervisors,2
,,7330600 Canada Inc. O/A Jimmy the Greek,"Calgary, AB T2P 0R3",6311-Food service supervisors,1
,,748026 Alberta Ltd. o/a Burger Baron,"Mayerthorpe, AB T0E 1N0",6311-Food service supervisors,1
,,792773 Alberta Ltd. o/a HP Custom Woodworking Ltd.,"Calgary, AB T2G 1V4",1221-Administrative officers,1
,,794916 Alberta Ltd. o/a Jeet Auto Sales,"EDMONTON, AB T6B 2J8",1241-Administrative assistants,1
,,7-Eleven Canada Inc.  o/a 7-Eleven Store,"CALGARY, AB T2Y 1W1",6211-Retail sales supervisors,5
,,817198 Alberta Ltd. o/a Lava Restaurant Lounge,"Edmonton, AB T5Y 0H1",6322-Cooks,1
,,819472 Alberta Ltd,"Fort Saskatchewan, AB T8L 4K8",6311-Food service supervisors,1
,,905753 Alberta Ltd o/a Holiday Inn Calgary Airport,"Calgary, AB T2E 7T7",6311-Food service supervisors,1
,,912388 Alberta Ltd,"Banff, AB T1L 1B1",6421-Retail salespersons,1
,,978393 Alberta Ltd o/a Kelly's,"Edmonton, AB T6H 2A7",6311-Food service supervisors,1
,,991798 Alberta Ltd o/a Second Cup,"EDMONTON, AB T6A 3Z5",6311-Food service supervisors,1
,,A Canadian Group of Companies Inc,"Calgary, AB T2H 1J4",6732-Specialized cleaners,1
,,A&S Enterprises Ltd,"CALGARY, AB T2N 1N4",6322-Cooks,1
,,A-1 Trusses (1993) Ltd.,"Nisku, AB T9E 0G5",1241-Administrative assistants,1
,,Action Towing Services Ltd,"EDMONTON, AB T6T 1R2",1241-Administrative assistants,1
,,Air Joe's Enterprises Ltd,"Airdrie, AB T4B 0V7",6322-Cooks,2
,,Alan Arsenault Holdings Ltd o/a Tim Hortons,"Calgary, AB T3K 4Y7",6311-Food service supervisors,1
,,Alberta Adaptabilities Association,"Edmonton, AB T6E 1Z4","4412-Home support workers, housekeepers and related occupations",2
,,Alberta Special Event Equipment Rentals & Sales Ltd.,"EDMONTON, AB T6E 3P2",6211-Retail sales supervisors,1
,,Alex Holdings Ltd.,"JASPER, AB T0E 1E0",6322-Cooks,2
,,Al-Wahab Sandwiches Ltd.,"Calgary, AB T3K 0T7",6311-Food service supervisors,1
,,Anzac Prime Gas Ltd.,"EDMONTON, AB T6G 0M4",6311-Food service supervisors,1
,,Apex Fine Dining Group Inc o/a Haru Sushi,"CALGARY, AB T2Z 0S8",6311-Food service supervisors,1
,,Arrow Drywall Inc.,"Calgary, AB T3J 0K7","7284-Plasterers, drywall installers and finishers and lathers",10
,,Artan Painting Ltd,"CALGARY, AB T3K 5P7",7294-Painters and decorators (except interior decorators),1
,,Aura Foods of Alberta Inc.,"Edmonton, AB T6R 0J7",6322-Cooks,3
,,Aura Restaurants Inc,"Edmonton, AB T6R 3E7",6322-Cooks,2
,,Banzai Restaurant (Calgary) Ltd. o/a Banzai Sushi & Teriyaki House,"Calgary, AB T2V 1K2",6311-Food service supervisors,1
,,Bedrock Pizza Ltd.,"EDMONTON, AB T6N 1L6",6322-Cooks,2
,,Bench Point Holdings Ltd. o/a Tim Hortons,"OLDS, AB T4H 1P6",6311-Food service supervisors,3
,,Bhavani Food (Canada) Corporation,"Calgary, AB T3H 0B1",6311-Food service supervisors,1
,,Bikaner Sweets House & Restaurant Inc.,"CALGARY, AB T3J 4L4",6311-Food service supervisors,1
,,Bingo Pizza Donair & Pasta Ltd,"EDMONTON, AB T5Z 2W6",6322-Cooks,1
,,BK Restaurant Ltd,"EDMONTON, AB T5S 1L8",6311-Food service supervisors,3
,,,,6322-Cooks,2
,,BMW Roofing & Siding 2000 Inc o/a BMW Roofing & Siding,"ROCKY VIEW COUNTY, AB T1X 1X6",7291-Roofers and shinglers,2
,,Borealis Diamonds Ltd,"FORT MCMURRAY, AB T9H 5P8",6211-Retail sales supervisors,1
,,BP Tri Centre Ltd o/a Boston Pizza,"Spruce Grove, AB T7X 0T3",6311-Food service supervisors,1
,,BPH Restaurants Inc.,"Norglenwold, AB T4S 1S5",6311-Food service supervisors,1
,,Bravo Ltd.,"Calgary, AB T2G 3V9",6322-Cooks,1
,,Brij Rathi Consultancy Ltd.,"EDMONTON, AB T6L 6L8",1241-Administrative assistants,1
,,C. K. CK. Investments Inc o/a Royal Western Motel,"Edmonton, AB T5M 2R3","6313-Accommodation, travel, tourism and related services supervisors",1
,,CAAP Enterprises Ltd. o/a Subway,"PEACE RIVER, AB T8S 1S2",6311-Food service supervisors,1
,,Cactus Corner Truck Stop Ltd,"Hanna, AB T0J 1P0",6322-Cooks,3
,,Canadian Mountain Holidays LP,"Banff, AB T1L 1J6","5254-Program leaders and instructors in recreation, sport and fitness",1
,,Castle Mountain Resort Inc.,"Pincher Creek, AB T0K 1W0","5254-Program leaders and instructors in recreation, sport and fitness",1
,,Cedar House Investment Ltd o/a Sushi Bistro,"Banff, AB T1L 1B4",6322-Cooks,1
,,Cemex Enterprise Ltd. O/A Pizza 73,"DIDSBURY, AB T0M 0W0",6311-Food service supervisors,1
,,Century Power Ltd.,"EDMONTON, AB T6W 0R5",1241-Administrative assistants,1
,,CHA Holdings Ltd. o/a Days Inn Athabasca,"Athabasca, AB T9S 0A4",6315-Cleaning supervisors,1
,,Chandru Holdings Ltd.,"EDMONTON, AB T5K 1T9",6311-Food service supervisors,1
,,Chatters Assetco Ltd.,"Red Deer County, AB T4S 0K7",6341-Hairstylists and barbers,15
,,Chez Max Ltd.,"Fort McMurray, AB T9H 4H1",6322-Cooks,1
,,Chubby Grande Cache Ltd,"GRANDE CACHE, AB T0E 0Y0",6311-Food service supervisors,2
,,Chutneys Indian Grill Inc,"EDMONTON, AB T6J 7A7",6322-Cooks,1
,,CKD Foods Inc,"Stony Plain, AB T7Z 1V5",6311-Food service supervisors,1
,,Classic Painters Inc.,"CHESTERMERE, AB T1X 1H3",7294-Painters and decorators (except interior decorators),1
,,CLBC 23 CORPORATION,"CALGARY, AB T3M 0S9",6322-Cooks,1
,,Clean Car Wash Inc.,"Edmonton, AB T6X 0N9",6211-Retail sales supervisors,2
,,Cochrane Bottle Depot Ltd,"CALGARY, AB T3J  1A",7452-Material handlers,1
,,Cochrane Wen Inc. o/a Wendy's,"Calgary, AB T3Z 3L5",6311-Food service supervisors,2
,,DAP Group Ltd.,"FORT MCMURRAY, AB T9X 0Y5",6211-Retail sales supervisors,2
,,Darsh Exterior Construction Inc,"Calgary, AB T1Y 7T8","7284-Plasterers, drywall installers and finishers and lathers",1
,,DCPH Enterprises Ltd.,"GRANDE PRAIRIE, AB T8V 6W7",6311-Food service supervisors,1
,,Deepali Fashions Pvt Ltd,"Calgary, AB T3J 3K9",6211-Retail sales supervisors,1
,,Divine Beauty Salon Inc o/a Nu Look Salon.,"Edmonton, AB T6X 1A3",6341-Hairstylists and barbers,1
,,Double Double Enterprises Ltd. o/a Tim Hortons,"Vermilion, AB T9X 0A8",6332-Bakers,2
,,DPJ Holdings Ltd. o/a Mr Sub,"Calgary, AB T2G 5E8",6311-Food service supervisors,1
,,DPZ Vancouver Island Ltd. o/a Domino's Pizza,"Edmonton, AB T6T 1X6",6311-Food service supervisors,1
,,East India Company Canada Inc,"Calgary, AB T3P 1B4",6311-Food service supervisors,1
,,Edo Japan o/a 1836446 Alberta Ltd,"Red Deer, AB T4E 1B2",0631-Restaurant and food service managers,1
,,Ellerslie Chicken Foods Inc.,"Edmonton, AB T5S 2X4",6311-Food service supervisors,5
,,,,6322-Cooks,3
,,Essence of Saigon Garden Ltd,"Calgary, AB T2L 1V9",6311-Food service supervisors,1
,,FHR Jasper Operations Corporation,"JASPER, AB T0E 1E0",6322-Cooks,3
,,Filistix Good Food Inc.,"EDMONTON, AB T6M 0P9",6321-Chefs,2
,,Filoxenia Inc. o/a Travelodge Strathmore,"Strathmore, AB T1P 1B5",6312-Executive housekeepers,1
,,,,"6313-Accommodation, travel, tourism and related services supervisors",1
,,First Nails o/a 1632924 Alberta Ltd,"OKOTOKS, AB T1S 0G1",6211-Retail sales supervisors,1
,,Flamez Burger Donair Kabob Inc.,"GIBBONS, AB T0A 1N0",6311-Food service supervisors,1
,,Fort Saskatchewan 73 Inc,"EDMONTON, AB T5V 0C8",6311-Food service supervisors,1
,,Fourteen Star Transport Inc,"Calgary, AB T2Z 4R6",1241-Administrative assistants,1
,,FRESHII oa 1914121 Alberta Ltd.,"CALGARY, AB T2E 7P4",6311-Food service supervisors,2
,,FSJPH Enterprises Ltd o/a Pizza Hut,"GRAND PRAIRIE, AB T8V 6W7",6322-Cooks,2
,,Fusion One Ltd.,"Lethbridge, AB T1J 4M7",6311-Food service supervisors,1
,,,,6322-Cooks,1
,,G&G International Developments Inc,"Vermilion, AB T9X 1B4",6322-Cooks,1
,,Garage Billiards Bar & Grill Inc.,"Calgary, AB T2P 4R5",6322-Cooks,1
,,Gatsby Hospitality Ltd.,"Calgary, AB T2C 4L5",6322-Cooks,3
,,Gaucho Brazilian Barbeque Ltd.,"Calgary, AB T2H 0K2",6311-Food service supervisors,1
,,Golden Altair & Company Ltd o/a Linden A.G. Foods,"Linden, AB T0M 1J0",6332-Bakers,1
,,GOOD HEART INVESTMENT INC. o/a Days Inn & Suites Airdrie,"AIRDRIE, AB T4A 0R2","6313-Accommodation, travel, tourism and related services supervisors",2
,,Grande Cache Hotel Inc.,"GRANDE CACHE, AB T0E 0Y0",6322-Cooks,2
,,Grassland Eldorado Restaurant Inc o/a Eldorado Restaurant & Lounge,"Grassland, AB T0A 1V0",6322-Cooks,1
,,Great Hawk Transport Inc,"CALGARY, AB T3N 0H6",1221-Administrative officers,1
,,Green Chili Canmore Inc.,"CANMORE, AB T1W 1N5",6322-Cooks,2
,,Gregoire Family Food Ltd.,"Fort McMurray, AB T9H 4K6",6221-Technical sales specialists - wholesale trade,1
,,Gurdwara Siri Guru Singh Sabha Society,"Edmonton, AB T6L 6Y8",6311-Food service supervisors,1
,,Guru Restaurant & Bar Ltd o/a Guru Fine Indian Restaurant,"Edmonton, AB T5S 1T9",6322-Cooks,1
,,H&H Family and Foods Ltd,"CALGARY, AB T3R 0A1",6311-Food service supervisors,1
,,Hamptons Chicken Foods Inc.,"Edmonton, AB T5S 2X4",6311-Food service supervisors,2
,,,,6322-Cooks,1
,,Hanna Sub Corp.,"Calgary, AB T3M 1T5",0631-Restaurant and food service managers,1
,,,,6311-Food service supervisors,2
,,Harmony Daycare Centre Ltd.,"COCHRANE, AB T4C 0E3",4214-Early childhood educators and assistants,2
,,Haryanvi Brothers Ltd. (HBL)  o/a Esso Gas Station,"Fort McMurray, AB T9K 0Y5",6211-Retail sales supervisors,2
,,Has Friends Calgary Ltd.,"Calgary, AB T2E 8Z9",6311-Food service supervisors,1
,,,,6316-Other services supervisors,1
,,Heartland Agency & Educational Services,"Calgary, AB T2W 6E4",4214-Early childhood educators and assistants,1
,,Hertiage Wine & Spirits o/a 1724168 Alberta Inc.,"CALGARY, AB T1Y 1X5",6211-Retail sales supervisors,1
,,High Level Subway Ltd.,"High Level, AB T0H 1Z0",6311-Food service supervisors,1
,,Hirt's Vacuum Truck Service Ltd,"High Level, AB T0H 1Z0",1241-Administrative assistants,1
,,Holy Beans Ltd o/a A Ladybug Bakery and Cafe,"Calgary, AB T3H 0K3",6311-Food service supervisors,1
,,HS Sidhu Trucking Ltd.,"EDMONTON, AB T6B 0A7",1241-Administrative assistants,1
,,Indique Unique Indian Flavors Inc.,"CALGARY, AB T2L 2E8",6311-Food service supervisors,1
,,Infinique & Natural Beauty Ltd. o/a NRSH Store,"Edmonton, AB T5T 2T1",6211-Retail sales supervisors,2
,,Inglewood Pizza & Pasta Ltd.,"Calgary, AB T2G 0S9",6311-Food service supervisors,1
,,Innisfail Hotel Ltd.,"INNISFAIL, AB T4G 1L9",6311-Food service supervisors,1
,,Issei Restaurant Ltd. o/a Sushi Hiro,"Calgary, AB T2P 0N2",6322-Cooks,2
,,Itifaq Inc o/a Shawarma Palace,"Calgary, AB T3G 5N2",6311-Food service supervisors,3
,,,,6322-Cooks,1
,,Jane's Human Growth Services Inc,"Calgary, AB T3G 1G4",6322-Cooks,1
,,Jaswal & Minhas Holdings Ltd.o/a AB LIQUOR OUTLET,"CALGARY, AB T3K 4K4",6211-Retail sales supervisors,3
,,Jay Painting & Reno Ltd,"Calgary, AB T3J 4K4",7294-Painters and decorators (except interior decorators),2
,,Jay Shri Krishna Inc. o/a Dairy Queen - Drumheller,"Drumheller, AB T0J 0Y0",6311-Food service supervisors,1
,,JCA Corporation,"Edmonton, AB T6E 5L8",6322-Cooks,1
,,Jeong Taekwondo Inc.,"Calgary, AB T2L 1V9","5254-Program leaders and instructors in recreation, sport and fitness",1
,,Jerusalem Shawarma & Falafel Inc.,"Calgary, AB T2H 0M4",6311-Food service supervisors,1
,,Jian's Trading Ltd,"Calgary, AB T2Y 4S6",6311-Food service supervisors,1
,,Jiten Management Inc. o/a Marcello's Market & Deli,"Calgary, AB T3M 1X5",6311-Food service supervisors,1
,,Jjam Management (1987) Ltd. o/a Tim Hortons,"EDMONTON, AB T6R 3L6",6311-Food service supervisors,6
,,Jomaa's Pizza 2004 Ltd,"Fort McMurray, AB T9H 4W1",0631-Restaurant and food service managers,1
,,Josun Enterprise Ltd. o/a Izumi Yokozuna Sushi House,"Calgary, AB T2W 4X9",6311-Food service supervisors,1
,,,,6322-Cooks,2
,,Just Bismillah Inc,"Edmonton, AB T6X 0K6",6311-Food service supervisors,1
,,Kam Han Szechuan House,"CALGARY, AB T2J 7A4",6322-Cooks,1
,,Kamal Raj 0005 Ltd.,"EDMONTON, AB T6R 3L6",6311-Food service supervisors,2
,,Ke Japanese Kitchen Ltd.  o/a Ke Charcoal Grill & Sushi,"CALGARY, AB T3C 0Y1",0631-Restaurant and food service managers,1
,,Khushi Inc.,"Stettler, AB T0C 2L2",6311-Food service supervisors,4
,,Kinjo Sushi & Grill Ltd,"Calgary, AB T3A 5R8",6321-Chefs,2
,,,,6322-Cooks,2
,,Kinjo Sushi & Grill Mahogany Ltd.,"CALGARY, AB T3M 2P8",6321-Chefs,1
,,Kosei International Ltd o/a Mikado Restaurant,"Edmonton, AB T6N 1L5",6311-Food service supervisors,1
,,,,6322-Cooks,1
,,KPW Lethbridge Co. Ltd.,"LETHBRIDGE, AB T1J 4L9",6311-Food service supervisors,1
,,Kullar Enterprises Ltd.,"CALGARY, AB T3H 3J3",6211-Retail sales supervisors,1
,,Lacombe Golf Club Inn Ltd,"Lacombe, AB T4L 1K7","6313-Accommodation, travel, tourism and related services supervisors",1
,,Leblanc Holdings Inc o/a Rocky Mountain Flatbread Co.,"Canmore, AB T1W 2A7",6311-Food service supervisors,1
,,,,6322-Cooks,1
,,Lefty's Cafe Ltd,"Sexsmith, AB T0H 3C0",6322-Cooks,1
,,Legacy Promise Partners Inc o/a Tim Hortons,"Wetaskiwin, AB T9A 2E8",6311-Food service supervisors,2
,,Lethbridge Ribs Ltd,"LETHBRIDGE, AB T1K 7V1",6322-Cooks,1
,,Lion Heart Contractors Ltd.,"CALGARY, AB T1Y 2J1",1241-Administrative assistants,1
,,Litek Interiors Ltd,"CAMROSE COUNTY, AB T0B 2M1","7284-Plasterers, drywall installers and finishers and lathers",1
,,Lotus Indian Cuisine & Bar Ltd.,"CALGARY, AB T2L 2B3",6322-Cooks,1
,,M Rehman Management Inc.  o/a Mary Brown's Chicken,"Calgary, AB T2G 2A4",6322-Cooks,1
,,Ma Siddiki Corporation o/a Edo Japan,"Olds, AB T4H 0A2",6322-Cooks,1
,,MAAK Financials Inc.,"Calgary, AB T3S 0A6",1241-Administrative assistants,1
,,Mackchef Ltd.,"Edson, AB T7E 1T1",6311-Food service supervisors,1
,,MAHI PRINTING & SIGNAGE LTD. O/A MAHI PRINTING & SIGNAGE,"Calgary, AB T3J 5H2",7381-Printing press operators,1
,,Maka Eatery Inc,"EDMONTON, AB T5J 0A5",6322-Cooks,1
,,Mall Enterprises Ltd o/a Rajdoot,"Calgary, AB T2S 2T4",6311-Food service supervisors,1
,,Master Caterers (2005) Ltd.,"Bonnyville, AB T9N 2H3",6311-Food service supervisors,1
,,MC Acupuncture & Natural Food Inc.,"Calgary, AB T2J 3G8",3232-Practitioners of natural healing,1
,,MD Corporation o/a Edo Japan,"Calgary, AB T3K 3E9",6311-Food service supervisors,1
,,Meldi Enterprises Ltd.,"Edmonton, AB T5X 0C7",6311-Food service supervisors,2
,,Memorial Drive Restaurant Ltd.,"Calgary, AB T2A 6L6",6322-Cooks,2
,,Mercer Food Services Inc. o/a McDonald's Restaurant,"EDSON, AB T7E 1B8",6311-Food service supervisors,1
,,Mezze Management Ltd,"Strathmore, AB T1P 1B5",6311-Food service supervisors,1
,,,,6322-Cooks,1
,,Mikado Restaurant Ltd,"Edmonton, AB T5J 4X9",6322-Cooks,1
,,Minhas Furniture House Ltd,"Calgary, AB T2C 2E2",1241-Administrative assistants,2
,,,,"9224-Supervisors, furniture and fixtures manufacturing",2
,,MLHZ Ventures Inc o/a McDonald's Restaurant,"Slave Lake, AB T0G 2A0",6311-Food service supervisors,2
,,Modo Mio Italian Restaurant Inc.,"Fort Saskatchewan, AB T8L 3T4",6322-Cooks,1
,,Mounma Group Ltd.,"Edmonton, AB T5K 0E7",6322-Cooks,2
,,Mountain View Hospitality LP,"KANANASKIS VILLAGE, AB T0L 2H0",6321-Chefs,5
,,,,6322-Cooks,4
,,Nanak Driving School Ltd.,"Edmonton, AB T6T 0P3",1241-Administrative assistants,1
,,Nature's Coin Group Ltd,"Banff, AB T1L 1B4",6211-Retail sales supervisors,1
,,,,6421-Retail salespersons,1
,,Neurauter Holdings Inc,"ALDERSYDE, AB T0L 0A0",6311-Food service supervisors,1
,,Next Steps Hospitality Ltd. o/a Elkwater Lake Lodge & Resort,"Elkwater, AB T0J 1C0","6313-Accommodation, travel, tourism and related services supervisors",1
,,NEXTGEN COM TECH INC.,"CALGARY, AB T2E 6V6",1241-Administrative assistants,1
,,Normand's Off Stage Bistro Ltd,"EDMONTON, AB T5J 3C6",6311-Food service supervisors,1
,,NORTH49 HOLDING LTD. o/a Cora Breakfast and Lunch,"GRAND PRAIRIE, AB T8X 0K7",6322-Cooks,1
,,Northland Foods Inc.,"Edmonton, AB T5S 2X4",6311-Food service supervisors,1
,,Northland Properties Corporations o/a Denny's Restaurant,"Calgary, AB T2H 0B8",6311-Food service supervisors,4
,,,,6322-Cooks,25
,,,,6332-Bakers,2
,,NS KT Foods Inc,"Edmonton, AB T5S 2X4",6311-Food service supervisors,4
,,,,6322-Cooks,1
,,Oaksoo Enterprises Inc. o/a The Ritz Cafe and Motor Inn,"Whitecourt, AB T7S 1N9",1311-Accounting technicians and bookkeepers,1
,,,,"6313-Accommodation, travel, tourism and related services supervisors",1
,,,,6322-Cooks,1
