"Employers Who Were Issued a Positive Labour Market Impact Assessment (LMIA) by Program Stream, National Occupational Classification (NOC) 2011 and Business Location, January to March 2020",,,,, 
Province/Territory,Program Stream,Employer ,Address,Occupation,Approved Positions 
Ontario,    High Wage,THE AHENAM MOTORS INC,"BRAMPTON, L6T1A7","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
Ontario,    High Wage,The Corner Store Inc.,"TORONTO, M5V1P9","5131-Producers, directors, choreographers and related occupations",3
Ontario,    High Wage,THE DRESSOR GROUP LTD,"MILTON, L9T4N6",7242-Industrial electricians,1
Ontario,    High Wage,The Ebf Group Ltd,"Burlington, L7S2J1","0013-Senior managers - financial, communications and other business services",1
Ontario,    High Wage,The General Synod of The Anglican Church of Canada,"Toronto, M4Y3G2",5122-Editors,1
Ontario,    High Wage,The Hospital for Sick Children,"Toronto, M5G1X8",3111-Specialist physicians,1
Ontario,    High Wage,The Nilgiris Inc.,"Scarborough, M1X1L8","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
Ontario,    High Wage,The Solar Group Inc,"Scarborough, M1N1V4",6315-Cleaning supervisors,1
Ontario,    High Wage,The University of Western Ontario,"London, N6A5B8",3111-Specialist physicians,1
Ontario,    High Wage,The University of Western Ontario,"London, N6A5B8",4011-University professors and lecturers,3
Ontario,    High Wage,Thousandeals Inc.,"Toronto, M2H3B4",2282-User support technicians,1
Ontario,    High Wage,Thousandeals Inc.,"Toronto, M2H3B4",6221-Technical sales specialists - wholesale trade,1
Ontario,    High Wage,THREE BRO  SQUIRRELS LTD,"TORONTO, M4K2E3",7291-Roofers and shinglers,2
Ontario,    High Wage,THS INDUSTRIES LTD,"Kitchener, N2C1L2","9226-Supervisors, other mechanical and metal products manufacturing",1
Ontario,    High Wage,Thunder Bay Historical Museum Society,"Thunder Bay, P7E5V1","0511-Library, archive, museum and art gallery managers",1
Ontario,    High Wage,Timmins and District Hospital,"Timmins, P4N8P2",3111-Specialist physicians,1
Ontario,    High Wage,Tip Top Trough Inc,"Toronto, M3H3T4",7233-Sheet metal workers,3
Ontario,    High Wage,Top_one International Ltd.,"Scarborough, M1V4T1",(blank),1
Ontario,    High Wage,TOPACK LTD,"MARKHAM, L3R5H9","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Ontario,    High Wage,Toronto Atomic FC Inc.,"Toronto, M9A3B3",5251-Athletes,1
Ontario,    High Wage,TORONTO GENERAL CONTRACTORS INC.,"Toronto, M2J4S6",0712-Home building and renovation managers,1
Ontario,    High Wage,Toronto Taxtronix Systems Ltd.,"Toronto, M6S1N9",1311-Accounting technicians and bookkeepers,1
Ontario,    High Wage,Torres Aluminum Ltd.,"Mississauga, L5V1S1",7271-Carpenters,1
Ontario,    High Wage,Torus Construction Corporation,"Nepean, K2E6T9",7521-Heavy equipment operators (except crane),1
Ontario,    High Wage,TR Design Firm Inc.,"Burlington, L7M4K1",5242-Interior designers and interior decorators,1
Ontario,    High Wage,TRADITIONAL HARDWOOD FLOORING LTD,"TORONTO, M9N2V6",7295-Floor covering installers,3
Ontario,    High Wage,Traffic Court Advocates Professional Corporation,"Brampton, L6Y0P7",4211-Paralegal and related occupations,1
Ontario,    High Wage,Traffic Team Inc.,"MISSISSAUGA, L5S1H9",0731-Managers in transportation,1
Ontario,    High Wage,"Trellis Solutions, Inc","Toronto, M5V2L4",2175-Web designers and developers,1
Ontario,    High Wage,TrevEx Inc.,"KITCHENER, N2P2X8","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
Ontario,    High Wage,Trio Roofing Systems Inc,"Brampton, L6T4T2",7291-Roofers and shinglers,1
Ontario,    High Wage,Triumph Aluminum & Sheet Metal Inc,"Toronto, M6L2H8",7291-Roofers and shinglers,5
Ontario,    High Wage,TRIUMPH ROOFING & SHEET METAL INC.,"Toronto, M6L2H8",7291-Roofers and shinglers,7
Ontario,    High Wage,Trump Transport Inc.,"Brampton, L6T0H7",1221-Administrative officers,1
Ontario,    High Wage,Trump Transport Inc.,"Brampton, L6T0H7",1241-Administrative assistants,1
Ontario,    High Wage,TSL Consulting + Design Group Ltd.,"Grimsby, L3M1P5",2253-Drafting technologists and technicians,1
Ontario,    High Wage,Turbo Disposal and Excavation Ltd,"Mississauga, L4X2R9","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
Ontario,    High Wage,Turner & Townsend cm2r Inc.,"Toronto, M4T2V7","0013-Senior managers - financial, communications and other business services",1
Ontario,    High Wage,Turner & Townsend cm2r Inc.,"Toronto, M4T2V7",0125-Other business services managers,1
Ontario,    High Wage,Turner Fleischer Architects Inc.,"Toronto, M3B2T8",2151-Architects,1
Ontario,    High Wage,Turnkey Site Solutions Ltd,"North York, M6M2L7",7237-Welders and related machine operators,6
Ontario,    High Wage,TW Importers & Exporters Inc.,"Mississauga, L4W4B8","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
Ontario,    High Wage,TWI Foods Inc,"Etobicoke, M9W4M2",7242-Industrial electricians,1
Ontario,    High Wage,Two Bay Enterprizes Limited,"Moosonee, P0L1Y0",1311-Accounting technicians and bookkeepers,1
Ontario,    High Wage,Two Bay Enterprizes Limited,"Moosonee, P0L1Y0","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
Ontario,    High Wage,U.G.O. Holdings Limited o/a You-Go Rental AND Sales,"BRAMPTON, L6P0A8","1212-Supervisors, finance and insurance office workers",1
Ontario,    High Wage,Ubisoft Toronto Inc.,"Toronto, M6H1V7",5241-Graphic designers and illustrators,1
Ontario,    High Wage,Umicore Precious Metals Canada Inc.,"Markham, L3R1B7","9211-Supervisors, mineral and metal processing",1
Ontario,    High Wage,Unexus Muskoka Developments Inc.,"Markham, L3T7X8",0601-Corporate sales managers,1
Ontario,    High Wage,United Meat Products Inc.,"Maple, L6A3Y7","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
Ontario,    High Wage,Unity Health Toronto,"Toronto, M5B1W8",3111-Specialist physicians,1
Ontario,    High Wage,Universal Quest Solution Inc,"Toronto, M2N6S6",1241-Administrative assistants,1
Ontario,    High Wage,University of Guelph,"Guelph, N1G2W1",4011-University professors and lecturers,3
Ontario,    High Wage,University of Ottawa Medical Associates,"Ottawa, K1H8L6",3111-Specialist physicians,1
Ontario,    High Wage,University of Toronto,"Toronto, M5S1A1",4011-University professors and lecturers,2
Ontario,    High Wage,University of Waterloo,"Waterloo, N2L3G1",4011-University professors and lecturers,6
Ontario,    High Wage,Urban International School (2017) Inc.,"Toronto, M4P1E8","1123-Professional occupations in advertising, marketing and public relations",1
Ontario,    High Wage,Urban International School (2017) Inc.,"Toronto, M4P1E8",1221-Administrative officers,1
Ontario,    High Wage,Urban Signs Ltd,"Vaughan, L4K3M9",7231-Machinists and machining and tooling inspectors,2
Ontario,    High Wage,UTS Group Inc.,"Woodbridge, L4L7Z1","7384-Other trades and related occupations, n.e.c.",1
Ontario,    High Wage,V4U LOGISTIC INC.,"BRAMPTON, L6W3H7",1311-Accounting technicians and bookkeepers,1
Ontario,    High Wage,Valani Global Ltd,"Toronto, M5V0A1","2161-Mathematicians, statisticians and actuaries",1
Ontario,    High Wage,Valmont West Coast Engineering Ltd.,"Barrie, L4M9B2","0013-Senior managers - financial, communications and other business services",1
Ontario,    High Wage,Valueway Global Logistics Inc.,"Toronto, M9W4Y8","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
Ontario,    High Wage,Valueway Global Logistics Inc.,"Toronto, M9W4Y8","1315-Customs, ship and other brokers",1
Ontario,    High Wage,Variyas Global Solutions Inc.,"Toronto, M5B2L7",2171-Information systems analysts and consultants,1
Ontario,    High Wage,Variyas Global Solutions Inc.,"Toronto, M5B2L7",2174-Computer programmers and interactive media developers,2
Ontario,    High Wage,Victory Cafe,"Toronto, M5S1X5",6321-Chefs,1
Ontario,    High Wage,Videoling Streaming Services Inc,"TORONTO, M5B1N9","0013-Senior managers - financial, communications and other business services",1
Ontario,    High Wage,VRP Logistics Inc.,"Scarborough, M1B1P2",1223-Human resources and recruitment officers,1
Ontario,    High Wage,Vuteq Canada Inc.,"WOODSTOCK, N4S0A7",2141-Industrial and manufacturing engineers,1
Ontario,    High Wage,WANGS KITCHEN CANADA INC,"Mississauga, L4Z3L9",6321-Chefs,2
Ontario,    High Wage,We Cater Inc,"South River, P0A1X0",6321-Chefs,4
Ontario,    High Wage,Weenen General Contracting Limited,"Toronto, M5A2K9",7271-Carpenters,1
Ontario,    High Wage,Wellcore Corporation,"THORNHILL, L4J3M8",7271-Carpenters,4
Ontario,    High Wage,White Water Softeners Services Ltd.,"East Gwillimbury, L9N0M5",7333-Electrical mechanics,1
Ontario,    High Wage,Willowdale Education Group Inc.,"Toronto, M4P3B5","1123-Professional occupations in advertising, marketing and public relations",1
Ontario,    High Wage,Win-can Windows & Doors Inc,"Richmond Hill, L4B1E3",6222-Retail and wholesale buyers,1
Ontario,    High Wage,WINDMILL GROUP CORPORATION,"MILTON, L9T2X5",7282-Concrete finishers,5
Ontario,    High Wage,Wolfe Exteriors Inc.,"Mississauga, L4W4N9",7291-Roofers and shinglers,1
Ontario,    High Wage,WORLDWIDE CARRIERS LTD.,"Bolton, L7E1K4",7511-Transport truck drivers,15
Ontario,    High Wage,WORLDWIDE WE GROW LTD.,"Mississauga, L5T2J3",6222-Retail and wholesale buyers,1
Ontario,    High Wage,Xforia Technologies Inc.,"Mississauga, L4Z3L3",2173-Software engineers and designers,1
Ontario,    High Wage,Ya YA Foods Corp,"Etobicoke, M8Z5E1",7311-Construction millwrights and industrial mechanics,11
Ontario,    High Wage,Yappn Canada Inc,"Toronto, M2J4Z8",2174-Computer programmers and interactive media developers,1
Ontario,    High Wage,YASH SERVICES INC.,"ST. CATHARINES, L2M3W2",0631-Restaurant and food service managers,1
Ontario,    High Wage,YM Inc. (Sales),"Toronto, M6A2W1","9217-Supervisors, textile, fabric, fur and leather products processing and manufacturing",1
Ontario,    High Wage,YNSMILE Inc.,"RICHMOND HILL, L4C5W6","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Ontario,    High Wage,York University,"Toronto, M3J1P3",4011-University professors and lecturers,1
Ontario,    High Wage,"YOUNG & YOUNG TRADING CO., LTD.","SCARBOROUGH, M1P2P4","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
Ontario,    High Wage,Zainab Transport Inc.,"BRAMPTON, L6P2S3",1221-Administrative officers,1
Ontario,    High Wage,Zensark Inc.,"Burlington, L7L6W6","0013-Senior managers - financial, communications and other business services",1
Ontario,    High Wage,Zgemi Inc.,"Brampton, L6T4Y9",0711-Construction managers,1
Ontario,    High Wage,ZOTIA INTERNATIONAL TRADE LTD,"Vaughan, L4K4G9","1212-Supervisors, finance and insurance office workers",1
Ontario,   Low Wage, 10919900 CANADA INC,"Mississauga, L4T1A8",6322-Cooks,2
Ontario,   Low Wage, 2389387 ONTARIO INC.,"Parry Sound, P2A1S3",6311-Food service supervisors,2
Ontario,   Low Wage,10175480 Canada Inc,"London, N5V0B5",6211-Retail sales supervisors,1
Ontario,   Low Wage,1030983 Ontario Ltd,"Brampton, L6T4N2",0631-Restaurant and food service managers,1
Ontario,   Low Wage,10349097 Canada Inc.,"Toronto, M5V1K1",6311-Food service supervisors,1
Ontario,   Low Wage,10647802 Canada Ltd,"Mississauga, L4V1T1",6315-Cleaning supervisors,1
Ontario,   Low Wage,1077232 ONTARIO INC.,"BARRIE, L4N9C5",0631-Restaurant and food service managers,1
Ontario,   Low Wage,1100985 Canada Inc,"MAPLE, L6A0A4",6322-Cooks,1
Ontario,   Low Wage,11053884 CANADA INC.,"KAPUSKASING, P5N2G5",6211-Retail sales supervisors,1
Ontario,   Low Wage,11215167 CANADA INC.,"NIAGARA FALLS, L2G1R8",0631-Restaurant and food service managers,1
Ontario,   Low Wage,11438042 CANADA INC,"Mississauga, L5T2K9",6321-Chefs,1
Ontario,   Low Wage,1170257 ONTARIO INC,"MISSISSAUGA, L5S1M9",6211-Retail sales supervisors,1
Ontario,   Low Wage,1177975 Ontario Ltd,"Toronto, M9V1B4",6311-Food service supervisors,1
Ontario,   Low Wage,1233488 Ontario Inc.,"TORONTO, ON, M4Y1R9",6311-Food service supervisors,1
Ontario,   Low Wage,1280438 Ontario Ltd,"Richmond hill, L4B3G6",6311-Food service supervisors,1
Ontario,   Low Wage,1352828 ONTARIO INC,"Peterborough, K9H1G7",6322-Cooks,1
Ontario,   Low Wage,1359046 Ontario Inc,"Brampton, L6Y4E6",6211-Retail sales supervisors,2
Ontario,   Low Wage,1439455 Ontario Inc.,"Burlington, L7T2E6",6311-Food service supervisors,1
Ontario,   Low Wage,1447675 Ontario Limited,"Toronto, M4P2M4",6332-Bakers,1
Ontario,   Low Wage,1462187 Ontario Inc.,"Mississauga, L4T2H2","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
Ontario,   Low Wage,1467738 Ontario Inc.,"Woodbridge, L4L7H8",6211-Retail sales supervisors,2
Ontario,   Low Wage,1472712 ONTARIO INC,"Collingwood, L9Y1A7",6322-Cooks,1
Ontario,   Low Wage,1486323 ONTARIO INC,"Toronto, M4Y2C5",6322-Cooks,2
Ontario,   Low Wage,1512687 Ontario Inc. o/a Wisla Delicatessen,"Mississauga, L4Y4H4",6322-Cooks,1
Ontario,   Low Wage,1527057 Ontario Limited,"Georgetown, L7G4X3",6211-Retail sales supervisors,2
Ontario,   Low Wage,1527057 Ontario Limited o/a Petro Canada,"STONEY CREEK, L8J3Z6",6211-Retail sales supervisors,1
Ontario,   Low Wage,1536427 Ontario Inc.,"Georgetown, L7G4S5","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
Ontario,   Low Wage,1553690 Ontario Inc,"Stratford, N4Z1G8",6211-Retail sales supervisors,1
Ontario,   Low Wage,1557113 Ontario Inc.,"Kaladar, K0H1Z0",6211-Retail sales supervisors,2
Ontario,   Low Wage,1578342 Ontario Inc O/A Printwell Printers,"Mississauga, L4W1S4",1311-Accounting technicians and bookkeepers,1
Ontario,   Low Wage,1595278 Ontario Corporation,"Kitchner, N2G2N3",6211-Retail sales supervisors,1
Ontario,   Low Wage,1595645 Ontario Inc.,"Mississauga, L5M4Z1","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
Ontario,   Low Wage,1606287 ONTARIO INC,"Toronto, M4B3E5","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
Ontario,   Low Wage,1634811 ONTARIO INC,"SCHUMACHER, P0N1G0",6311-Food service supervisors,2
Ontario,   Low Wage,1676272 Ontario Inc.o/a Sam's Food,"Toronto, M5A4J6",6322-Cooks,2
Ontario,   Low Wage,1679681 Ontario Inc.,"mississauga, L5R3T7",6311-Food service supervisors,1
Ontario,   Low Wage,1697010 ONTARIO LTD,"Toronto, M5S1Y9",6311-Food service supervisors,1
Ontario,   Low Wage,1705887 Ontario Inc.,"Hensall, N0M1X0","6331-Butchers, meat cutters and fishmongers - retail and wholesale",2
Ontario,   Low Wage,1750489 Ontario Ltd. o/a Domino's Pizza,"SCARBOROUGH, M1C4X5",6311-Food service supervisors,1
Ontario,   Low Wage,1756229 Ontario Inc.,"Maple, L6A0A5",6322-Cooks,1
Ontario,   Low Wage,1759110 ONTARIO INC,"Guelph, N1L0C7",6311-Food service supervisors,1
Ontario,   Low Wage,1769054 Ontario Inc,"Kenora, P9N1L8",6322-Cooks,4
Ontario,   Low Wage,1811979 Ontario Inc.,"Wyoming, N0N1T0",8612-Landscaping and grounds maintenance labourers,2
Ontario,   Low Wage,1816439 Ontario Ltd.,"SUNDERLAND, L0C1H0",8612-Landscaping and grounds maintenance labourers,4
Ontario,   Low Wage,1817478 Ontario Inc.,"Thornhill, L4J9C3",6322-Cooks,1
Ontario,   Low Wage,1824107 Ontario Limited,"Vaughan, L4H0A8",6321-Chefs,1
Ontario,   Low Wage,1833400 Ontario Ltd,"Longlac, P0T2A0",6332-Bakers,2
Ontario,   Low Wage,1834990 Ontario Inc.,"Brampton, L6V4K2",6322-Cooks,1
Ontario,   Low Wage,1850168 Ontario Inc.,"Toronto, M4X1P6",0631-Restaurant and food service managers,1
Ontario,   Low Wage,1853149 Ontario Inc.,"Midland, L4R3L8",6322-Cooks,3
Ontario,   Low Wage,1854452 Ontario Inc.,"MISSISSAUGA, L5W0E6",0631-Restaurant and food service managers,1
Ontario,   Low Wage,1855193 ONTARIO INC.,"brampton, L6T1A2",1311-Accounting technicians and bookkeepers,1
Ontario,   Low Wage,1857147 Ontario Inc,"Hamilton, L8P3E8","3413-Nurse aides, orderlies and patient service associates",1
Ontario,   Low Wage,1899191 Ontario Inc.,"Toronto, M6H1N5","9461-Process control and machine operators, food, beverage and associated products processing",1
Ontario,   Low Wage,1907151 ONTARIO INC.,"KITCHNER, N2A3Z1",6322-Cooks,1
Ontario,   Low Wage,1908719 Ontario Inc.,"Toronto, M6K1G8",6311-Food service supervisors,1
Ontario,   Low Wage,1932048 ontario inc.,"HAMILTON, L8R1Y7",6322-Cooks,1
Ontario,   Low Wage,1938202 Ontario Inc.,"Toronto, M5A2G4",6322-Cooks,1
Ontario,   Low Wage,1940875 ONTARIO INC.,"EAST YORK, M4B1N9",6211-Retail sales supervisors,1
Ontario,   Low Wage,1945304 Ontario Inc.,"Toronto, M5S1Y4",6321-Chefs,1
Ontario,   Low Wage,1948756 Ontario Inc.,"Vaughan, L4J6W7",6322-Cooks,1
Ontario,   Low Wage,1954205 ONTARIO INC. Mister Laffa,"Thornhill, L4J8X2",6322-Cooks,1
Ontario,   Low Wage,1961064 ONTARIO INC,"Thornhill, L4J7Y1",6322-Cooks,1
Ontario,   Low Wage,1965534 Ontario Inc.,"Windsor, N9A5X3",6322-Cooks,1
Ontario,   Low Wage,1971618 Ontario Inc,"Toronto, M5A1J4",6341-Hairstylists and barbers,1
Ontario,   Low Wage,1993583 ONTARIO INC.,"Thornhill, L4J0A2",6322-Cooks,1
Ontario,   Low Wage,1997922 Alberta Ltd,"Niagara Falls, L2J2K5",6311-Food service supervisors,1
Ontario,   Low Wage,2013553 ONTARIO LIMITED,"MISSISSAUGA, L4Z3M3",6311-Food service supervisors,1
Ontario,   Low Wage,2014695 Ontario Inc,"Barrie, L4N4E6",6311-Food service supervisors,4
Ontario,   Low Wage,2016728 Ontario Inc,"Toronto, M5V1E3",6322-Cooks,1
Ontario,   Low Wage,2024012 Ontario Inc,"Hamilton, L8P3S7",0631-Restaurant and food service managers,1
Ontario,   Low Wage,2046229 Ontario Inc.,"North York, M2N5S2",6322-Cooks,1
Ontario,   Low Wage,2070567 ONTARIO LTD.,"BRAMPTON, L6S0A2",6311-Food service supervisors,1
Ontario,   Low Wage,2071768 Ontario Inc,"Dorchester, N0L1G5",6311-Food service supervisors,3
Ontario,   Low Wage,2102696 ONTARIO LTD,"Mississauga, L5S1G1",6732-Specialized cleaners,1
Ontario,   Low Wage,2112047 Ontario Ltd.,"Toronto, M5V1M6",6311-Food service supervisors,1
Ontario,   Low Wage,2115722  Ontario Inc.,"Bracebridge, P1L1P3",6322-Cooks,1
Ontario,   Low Wage,2126294 Ontario Ltd.,"Richmond Hill, L4B1G9",6322-Cooks,1
Ontario,   Low Wage,2141097 ONTARIO INC.,"BURLINGTON, L7M4B8","5254-Program leaders and instructors in recreation, sport and fitness",1
Ontario,   Low Wage,2154527 Ontario Inc,"Orangeville, L9W0A4",6311-Food service supervisors,1
Ontario,   Low Wage,2170605 Ontario Inc.,"CALEDON,, L7C1A6",6311-Food service supervisors,1
Ontario,   Low Wage,2175706 Ontario Inc.,"Waterloo, N2J1N8",0631-Restaurant and food service managers,1
Ontario,   Low Wage,2176738 ONTARIO INC.,"Pembroke, K8A5N2",6311-Food service supervisors,1
Ontario,   Low Wage,2186342 Ontario Inc.,"Markham, L6C0G6",6311-Food service supervisors,1
Ontario,   Low Wage,2186429 Ontario Inc.,"Oakville, L6H3H6",6311-Food service supervisors,1
Ontario,   Low Wage,2187151 ONTARIO INC.,"MISSISSAUGA, L5V1N3","5254-Program leaders and instructors in recreation, sport and fitness",1
Ontario,   Low Wage,2190705 Ontario Inc.,"Beeton, L0G1A0",6211-Retail sales supervisors,1
Ontario,   Low Wage,2202751 ONTARIO INC.,"COBOURG, K9A2L9",6322-Cooks,1
Ontario,   Low Wage,2203873 Ontario Inc.,"Toronto, M4P1E4",6311-Food service supervisors,1
Ontario,   Low Wage,2216499 Ontario Inc.,"TORONTO, M6G1L3",6322-Cooks,1
Ontario,   Low Wage,2219952 ONTARIO INC.,"LONDON, N6A3G3",6322-Cooks,1
Ontario,   Low Wage,2223348 ONTARIO INC,"Collingwood, L9Y4H8",6311-Food service supervisors,1
Ontario,   Low Wage,2231761 Ontario Inc.,"Kitchener, N2P2G4",6311-Food service supervisors,1
Ontario,   Low Wage,2243958 Ontario Inc.,"Toronto, M6G1K4",6322-Cooks,1
Ontario,   Low Wage,2251363 ONTARIO INC,"Thornhill, L4J1A1",6322-Cooks,1
Ontario,   Low Wage,2256411 ONTARIO INC.,"Brampton, L6W3R9",1311-Accounting technicians and bookkeepers,1
Ontario,   Low Wage,2259697 Ontario Inc,"Espanola, P5E1S4",6311-Food service supervisors,1
Ontario,   Low Wage,2262085 Ontario Inc.,"Mississauga, L5S1J5",7322-Motor vehicle body repairers,1
Ontario,   Low Wage,2267084 Ontario Inc.,"York, M6C2C1",6211-Retail sales supervisors,1
Ontario,   Low Wage,2268191 ONTARIO LTD.,"TORONTO, M6S1N6",6332-Bakers,1
Ontario,   Low Wage,2280793 Ontario Inc.,"Toronto, M2M3V9",6311-Food service supervisors,1
Ontario,   Low Wage,2282172 Ontario Inc,"Brampton, L6P1Z7",7511-Transport truck drivers,1
Ontario,   Low Wage,2284028 Ontario Inc.,"Brampton, L6S6E8",6311-Food service supervisors,1
Ontario,   Low Wage,2284028 Ontario Inc.,"Brampton, L6S6E8",6322-Cooks,2
Ontario,   Low Wage,2289181 ONTARIO INC.,"TORONTO, M2N5N5",6322-Cooks,1
Ontario,   Low Wage,2303379 ONTARIO INC.,"Brampton, L6Z2W1",6211-Retail sales supervisors,1
Ontario,   Low Wage,2312964 Ontario Ltd.,"Mississauga, L5C4P3",6322-Cooks,2
Ontario,   Low Wage,2327729 Ontario Inc.,"Toronto, M5R0A1",6311-Food service supervisors,3
Ontario,   Low Wage,2328894 Ontario Inc,"Stratford, N5A3J7",6311-Food service supervisors,1
Ontario,   Low Wage,2329848 Ontario INC,"Toronto, M6P1Y9",6321-Chefs,1
Ontario,   Low Wage,2330219 Ontario Inc.,"Mississauga, L5W1W7",6311-Food service supervisors,1
Ontario,   Low Wage,2333163 Ontario Inc.,"Petawawa, K8H1X3",6311-Food service supervisors,1
Ontario,   Low Wage,2337635 ONTARIO INC.,"MISSISSAUGA, L5N5R3",6322-Cooks,1
Ontario,   Low Wage,2341331 Ontario ltd,"Bolton, L7E4E5",6322-Cooks,2
Ontario,   Low Wage,2343096 ONTARIO INC,"Toronto, M3J1P3",6322-Cooks,1
Ontario,   Low Wage,2345494 Ontario Inc,"Pickering, L1V5Z4",6322-Cooks,1
Ontario,   Low Wage,2346705 Ontario Inc.,"Ottawa, K2C3G1",6322-Cooks,4
Ontario,   Low Wage,2354144 Ontario Inc,"Ottawa, K2C3G1",6311-Food service supervisors,2
Ontario,   Low Wage,2357243 ONTARIO INC.,"Markham, L3P1B9",6321-Chefs,1
Ontario,   Low Wage,2362030 Ontario INC,"Huntsville, P1H1W8",6322-Cooks,1
Ontario,   Low Wage,2362535 Ontario Inc.,"Hamilton, L8R1C4",6211-Retail sales supervisors,2
Ontario,   Low Wage,2362978 Ontario Inc.,"Niagara Falls, L2G3Y2",6311-Food service supervisors,1
Ontario,   Low Wage,2362978 Ontario Inc.,"Niagara Falls, L2G3Y2",6322-Cooks,1
Ontario,   Low Wage,2364497 Ontario Inc,"Toronto, M6C1B6",6322-Cooks,2
Ontario,   Low Wage,2367532 Ontario Inc.,"Brantford, N3S2E3",6322-Cooks,1
Ontario,   Low Wage,2369184 Ontario Limited,"Woodbridge, L4L5W6",6322-Cooks,1
Ontario,   Low Wage,2372200 Ontario Inc.,"Whitby, L1N0E4",6311-Food service supervisors,1
Ontario,   Low Wage,2373336 ONTARIO INC.,"MISSISSAUGA, L5C3G1",6322-Cooks,1
Ontario,   Low Wage,2376619 ONTARIO INC.,"TORONTO, M4V1G3",6322-Cooks,1
Ontario,   Low Wage,2376789 Ontario Inc.,"Toronto, M5V1M3",6316-Other services supervisors,1
Ontario,   Low Wage,2380312 Ontario Inc,"Etobicoke, M8Z1V1",6322-Cooks,3
Ontario,   Low Wage,2381062 Ontario Inc.,"Thunder Bay, P7E5R9",6315-Cleaning supervisors,1
Ontario,   Low Wage,2387296 Ontario Ltd,"Toronto, M5T1T1",6322-Cooks,1
Ontario,   Low Wage,2387296 Ontario Ltd. o/a Ramen Isshin,"Toronto, M5V2B7",6322-Cooks,1
Ontario,   Low Wage,2388340 ONTARIO INC.,"Thornhill, L4J2L1",6322-Cooks,1
Ontario,   Low Wage,2393211 Ontario Inc,"Mississauga, L4W4L9",6322-Cooks,4
Ontario,   Low Wage,2394715 Ontario Inc.,"North York, M2N5N2",6322-Cooks,1
Ontario,   Low Wage,2397282 Ontario Inc.,"NORTH YORK, M2N5P9",6322-Cooks,2
Ontario,   Low Wage,2403111 Ontario Limited,"TORONTO, M4Y1Z3",6322-Cooks,1
Ontario,   Low Wage,2405929 ONTARIO INC,"Toronto, M4M1L5",6322-Cooks,2
Ontario,   Low Wage,2407220 ONTARIO INC.,"TORONTO, M8Z5E5",6322-Cooks,1
Ontario,   Low Wage,2408904 Ontario Inc.,"Etobicoke, M9W7A4",1226-Conference and event planners,1
Ontario,   Low Wage,2415581 Ontario Inc.,"Toronto, M5V1Z4",6321-Chefs,1
Ontario,   Low Wage,2416252 ONTARIO INC.,"BRAMPTON, L6T0H8",6322-Cooks,1
Ontario,   Low Wage,2417447 ONTARIO CORP,"Toronto, M2N5P9",6322-Cooks,1
Ontario,   Low Wage,2419470 ONTARIO LTD.,"Concord, L4K5Y6",6311-Food service supervisors,1
Ontario,   Low Wage,2425180 Ontario Inc.,"Collingwood, L9Y4S8",6311-Food service supervisors,1
Ontario,   Low Wage,2426126 Ontario Inc.,"Scarborough, M1S5A8",6332-Bakers,1
Ontario,   Low Wage,2426140 Ontario Inc.,"Mississauga, L5A4C8",6311-Food service supervisors,1
Ontario,   Low Wage,2429534 ONTARIO CORP,"Oakville - ON, L6J2W7",6322-Cooks,1
Ontario,   Low Wage,2430143 Ontario Inc.,"Mississauga, L5B4C9",6322-Cooks,2
Ontario,   Low Wage,2430584 ONTARIO LTD.,"Lakefield, K0L2H0",6311-Food service supervisors,1
Ontario,   Low Wage,2433395 ONTARIO INC.,"THORNHILL, L4J1V7",6322-Cooks,1
Ontario,   Low Wage,2440050 Ontario Inc.,"Peterborough, K9J3J6",6311-Food service supervisors,1
Ontario,   Low Wage,2446699 ONTARIO INC.,"MISSISSAUGA, L5A2X2",6322-Cooks,1
Ontario,   Low Wage,2452148 ONTARIO INC.,"TORONTO, M3B1Y6",6322-Cooks,1
Ontario,   Low Wage,2463765 ONTARIO INC.,"Hamilton, L9B1K3",6311-Food service supervisors,1
Ontario,   Low Wage,2468765 Ontario Incorporated,"BRAMPTON, L6T2J6",6211-Retail sales supervisors,1
Ontario,   Low Wage,2471507 Ontario Inc.,"Hamilton, L8P1K5",6322-Cooks,1
Ontario,   Low Wage,2475797 Ontario Inc.,"Mississauga, L5T1B6",6322-Cooks,1
Ontario,   Low Wage,2478070 Ontario Inc.,"Scarborough, M1V4V3",6322-Cooks,1
Ontario,   Low Wage,2479254 Ontario Inc.,"Burlington, L7M0Y9",6211-Retail sales supervisors,1
